building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80227817,TB,439,1,604407.000000755,6646287.59993002,59.940760051072864,10.868667309952114
80227809,TB,219,1,604369.000000755,6646273.99993002,59.940647625292854,10.867980744228392
80227833,TB,181,1,604332.000000754,6646419.99993002,59.941967284423065,10.86739262682217
80227825,TB,212,1,604640.000000757,6646610.99993001,59.94360330451386,10.8729986543716
80301766,TB,111,2,603467.000000747,6643061.99993002,59.91204848557739,10.850240633934783
80301685,TB,181,1,604098.000000752,6642861.99993001,59.910094785597124,10.861417011766708
80301715,TB,111,2,604265.000000754,6642838.99993001,59.90984619050471,10.864389786085262
80301936,TB,136,2,603431.000000747,6643056.99993002,59.91201264125357,10.84959476108551
80301944,TB,111,2,603554.000000748,6643131.99993002,59.91265488045199,10.851830455135785
80301804,TB,122,2,603509.000000748,6643069.99993002,59.912109745120816,10.850995236709734
80301820,TB,111,3,603569.000000748,6643069.99993001,59.91209468335182,10.852067530747993
80301847,TB,111,2,603634.000000749,6643072.99993001,59.912105280650536,10.85323068236354
80301855,TB,131,2,603378.000000747,6643036.99993002,59.91184643433923,10.848637587106099
80301863,TB,131,2,603387.000000747,6643067.99993002,59.91212239442057,10.848813903701767
80301871,TB,131,2,603380.000000747,6643099.99993002,59.91241133961098,10.848704774314966
80301898,TB,131,2,603392.000000747,6643131.99993002,59.91269552224215,10.848935209467788
80248962,TB,111,2,606142.000000769,6647287.99993,59.949294700530764,10.900214276463075
80249020,FA,111,2,606260.00000077,6647209.99993,59.94856427058459,10.902285303133478
80249012,TB,111,2,606194.000000769,6647141.99993,59.94797103498132,10.901069566026809
80250894,TB,111,2,605723.000000765,6646930.99993,59.94619860083071,10.89253520435771
80250371,TB,111,2,605722.000000765,6647143.99993001,59.94811041206083,10.892626302499139
80250363,TB,111,2,605713.000000765,6647180.99993001,59.948444776221955,10.892484219775945
80250452,GR,111,2,605606.000000764,6647205.99993001,59.94869658738842,10.89058269160546
80250436,TB,111,2,605507.000000764,6647000.99993001,59.94688219769749,10.888706809055465
80250487,TB,111,2,605515.000000764,6646979.99993001,59.94669168482663,10.888839204323498
80250479,TB,136,2,605548.000000764,6647102.99993001,59.9477870871785,10.889492400834731
80250460,TB,181,1,605629.000000765,6647218.99993001,59.948807356917065,10.891000828054285
80250517,TB,111,2,605681.000000765,6647202.99993001,59.94865042609805,10.89192297069604
80250509,TB,122,2,605504.000000764,6646912.99993001,59.946093214042264,10.88860820652571
80250541,TB,111,2,605728.000000765,6647049.99993001,59.94726527515945,10.89268554327934
80250614,FA,111,1,605711.000000765,6647251.99993,59.949082474296944,10.89248476790764
80250606,TB,181,1,605496.000000764,6646951.99993001,59.94644526691482,10.8884850022761
80250592,TB,111,2,605514.000000764,6646949.99993001,59.94642270735541,10.888805994991545
80250584,TB,181,1,605753.000000766,6647087.99993001,59.94759988536391,10.893152244770976
80250576,TB,122,2,605741.000000766,6647092.99993,59.94764783848215,10.89294012075978
80250649,TB,111,2,605731.000000765,6647003.99993001,59.94685168109976,10.89271567440376
80250622,TB,111,2,605708.000000765,6647229.99993001,59.9488858067878,10.892419837859935
80250665,FA,111,1,605704.000000765,6646901.99993,59.9459432184938,10.892180468848565
80250789,TB,111,2,605577.000000764,6646856.99993001,59.945571940065264,10.889885525587458
80250754,FA,181,1,605682.000000765,6646837.99993001,59.94537449945225,10.89175417118341
80250746,FA,111,1,605712.000000765,6646824.99993001,59.945250133684475,10.892284192488535
80250835,TB,111,2,605679.000000765,6647257.99993001,59.94914453324676,10.89191532340224
80250827,TB,111,1,605644.000000765,6647244.99993001,59.949036844966706,10.891282487261726
80250800,TB,111,2,605541.000000764,6647049.99993001,59.9473132350923,10.889340094824837
80250878,TB,111,2,605497.000000764,6647056.99993001,59.947387328644716,10.888556503025962
80250851,TB,111,2,605707.000000765,6646788.99993001,59.944928337023796,10.892176332390795
80250843,TB,181,1,605690.000000765,6647263.99993001,59.94919555713444,10.892115194941551
80249586,TB,111,2,605777.000000766,6647188.99993,59.948500139623064,10.893633320242161
80249543,TB,111,2,605751.000000766,6647246.99993001,59.9490273332388,10.893197850198234
80249527,TB,111,2,605559.000000764,6646203.99993001,59.93971623279066,10.88923001458704
80249640,TB,111,2,605837.000000766,6647135.99993,59.948009081173254,10.894679612534443
80249632,TB,181,1,605766.000000766,6647154.99993001,59.948197834023055,10.893419116467744
80249624,TB,111,2,605760.000000766,6647156.99993001,59.94821732363066,10.893312796883407
80249608,TB,111,2,605754.000000766,6647203.99993001,59.94864066247772,10.89322951177817
80249594,TB,181,1,605789.000000766,6647189.99993,59.94850603193134,10.89384852095918
80249667,TB,111,2,605819.000000766,6647100.99993,59.94769960137286,10.89433965832633
80249705,TB,122,2,605762.000000766,6646935.99993,59.9462334608688,10.893235453625929
80249691,TB,181,1,605788.000000766,6647039.99993001,59.9471601246944,10.89375382680602
80249683,TB,111,2,605785.000000766,6647028.99993,59.94706217649144,10.893694524996233
80249675,TB,181,1,605827.000000766,6647103.99993001,59.94772446918844,10.894484317220934
80249748,TB,121,2,605751.800000766,6646860.79993001,59.945561202358164,10.893014494929568
80249780,TB,111,2,605471.000000763,6646975.99993001,59.946667056301834,10.88805001105853
80249764,TB,181,1,605741.000000766,6646816.99993,59.945170894692254,10.89279887937017
80249756,TB,111,2,605746.000000766,6646804.99993,59.94506191789856,10.89288218339977
80249837,TB,136,2,605470.000000763,6646892.99993001,59.94592243224507,10.887989755677216
80249802,TB,111,2,605459.200000763,6646925.79993001,59.94621955982828,10.887813290296167
80249799,TB,181,1,605465.000000763,6646978.99993001,59.94669551603731,10.88794420354407
80249861,TB,111,2,605485.500000764,6646860.29993001,59.94562499827108,10.888250348378714
80249853,TB,111,2,605523.000000764,6646892.99993001,59.94590885782435,10.888937893079346
80249845,TB,181,1,605489.000000764,6646906.99993001,59.946043209139525,10.888336801226943
80249942,TB,142,4,605672.000000765,6647614.99993001,59.95235020201822,10.891972714968592
80249934,TB,142,4,605601.000000765,6647531.99993001,59.95162353711974,10.890659889015554
80249918,TB,111,2,605440.000000763,6647042.99993001,59.947276282095956,10.88752961792753
80249985,TB,136,1,605892.000000766,6645699.99993,59.93510766543988,10.894927924221546
80249977,TB,142,3,605630.000000765,6646645.99993,59.943664743689304,10.890725800892497
80249969,TB,142,4,605588.000000764,6647439.99993001,59.9508012220511,10.890380259054275
80249950,TB,142,4,605753.000000766,6647679.99993001,59.952912745852615,10.893455313679153
80249713,FA,111,1,605758.000000766,6646904.99993001,59.94595628050296,10.893148029326793
80251548,TB,136,2,605670.000000765,6647124.99993,59.94795324239831,10.891686277065745
80251599,TB,662,3,605475.000000763,6646389.99993001,59.94140699692938,10.887822492300636
80251653,TB,111,2,605596.000000764,6646301.99993,59.94058624826258,10.889941857894724
80251947,TB,111,2,605457.000000763,6646363.99993001,59.94117826875599,10.887487262065367
80251637,TB,111,2,605568.000000764,6646319.99993001,59.94075496420749,10.889450228407995
80251610,TB,112,2,605538.000000764,6646338.99993001,59.94093316514788,10.888923331089032
80251696,TB,122,2,605408.000000763,6646277.99993001,59.94041900392441,10.886566952214263
80251688,TB,122,2,605463.000000763,6646325.99993001,59.94083570303956,10.887575195325601
80251963,TB,111,3,605771.000000766,6646764.99993,59.944696521839525,10.893308931920911
80251955,TB,181,1,605436.000000763,6646366.99993001,59.94121056714463,10.887113168527925
80251661,TB,181,1,605601.000000764,6646292.99993001,59.94050419658185,10.890026692682882
80251726,TB,136,2,605520.000000764,6646292.99993001,59.9405249504873,10.88857788883494
80252056,TB,122,2,605913.000000767,6645605.99993,59.93425867140295,10.895255335147406
80251718,TB,111,2,605485.000000763,6646312.99993001,59.94071340265029,10.887962067782732
80252021,TB,181,1,605439.000000763,6646685.99993001,59.94407265472822,10.88732956622769
80252013,TB,122,2,605433.000000763,6646704.99993001,59.944244705319974,10.887231929087873
80251777,TB,181,1,605428.000000763,6646268.99993001,59.94033311618244,10.886920090910822
80251769,TB,122,2,605439.000000763,6646265.99993001,59.94030337774532,10.887115311033218
