building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80202598,TB,121,2,600319.000000723,6645541.99993005,59.93508407847026,10.795181606523158
80199988,TB,111,2,600412.000000724,6645357.99993004,59.93341003918773,10.796755522839849
80200048,TB,111,2,600425.000000724,6645383.99993005,59.93364021976625,10.797000634360362
80202636,FA,142,5,600109.000000721,6645568.99993005,59.9353774730031,10.79143892816027
80199996,TB,181,1,600431.000000724,6645353.99993004,59.933369509523025,10.797093368236217
80200005,TB,121,2,600390.000000724,6645404.99993004,59.93383722116968,10.796384898696253
80200196,TB,111,2,600442.000000724,6645412.99993004,59.93389634974812,10.797318741583792
80203683,TB,122,2,600543.000000725,6646124.99993005,59.94026186281917,10.799471232807418
80203667,TB,111,2,600379.000000724,6645691.99993005,59.93641570764265,10.796327490456257
80203659,TB,181,1,600427.000000724,6645656.99993005,59.936089889157614,10.797168980509328
80203772,TB,111,2,600241.000000722,6645574.99993005,59.93539923334423,10.793802612226816
80203756,TB,136,2,600246.000000722,6645676.99993005,59.936313461655324,10.79394148468724
80203721,FA,122,2,600574.600000725,6646032.29993004,59.93942217553042,10.799991368844116
80203713,TB,181,,600543.000000725,6646007.99993005,59.939211797756876,10.799414328229702
80203691,TB,181,1,600551.000000725,6646114.99993005,59.940170161270274,10.799609466484915
80203705,TB,111,2,600553.000000725,6646008.99993005,59.9392183322339,10.799593681305868
80203802,TB,181,1,600313.000000723,6645687.99993005,59.93639588062322,10.795145126401216
80203799,TB,122,2,600324.000000723,6645677.99993005,59.93630345317093,10.795337011640912
80201567,TB,111,3,600473.000000724,6645476.99993005,59.93446318834953,10.797904233584426
80201583,TB,122,2,600421.000000724,6645457.99993005,59.934305339718364,10.796965032284152
80201486,FA,111,2,600437.000000724,6645497.99993005,59.93466043772455,10.797270603948537
80201575,TB,181,1,600475.000000724,6645482.99993005,59.93451655029166,10.79794291697414
80201451,TB,122,3,600415.000000724,6645489.99993005,59.934593999720704,10.796873266024152
80201478,TB,181,1,600410.000000724,6645477.99993004,59.93448751884691,10.796778018459102
80201346,FA,122,2,600278.000000723,6645442.99993005,59.93420553807037,10.794400336257732
80201354,FA,181,1,600281.000000723,6645436.99993005,59.93415095835678,10.794451078883906
80201788,FA,111,2,600441.000000724,6645547.99993005,59.935108209384595,10.797366426148724
80202024,TB,181,1,600387.000000724,6645533.99993005,59.93499571892091,10.796393867464218
80202016,TB,112,2,600399.000000724,6645530.99993005,59.93496587059616,10.79660702407962
80202008,TB,122,2,600375.000000724,6645520.99993005,59.93488196789988,10.796172944250193
80201990,TB,122,2,600384.000000724,6645563.99993005,59.93526569784393,10.796354777304972
80201974,TB,181,1,600433.000000724,6645584.99993005,59.93544223174566,10.797241320438884
80201982,TB,122,2,600406.000000724,6645571.99993005,59.935332137371354,10.796752122280434
80201702,FA,122,2,600462.000000724,6645556.99993005,59.9351838645917,10.797746372506724
