building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80509472,TB,142,3,595856.000000688,6643774.99993007,59.92028702365487,10.714541444376037
80507453,TB,181,1,596098.00000069,6643622.99993007,59.9188664419977,10.718797182761989
80509464,TB,143,5,595858.000000688,6643613.99993007,59.9188415272001,10.71450264836757
80507445,TB,143,5,596115.00000069,6643613.99993007,59.91878170174264,10.719096904752101
80507550,TB,619,4,596066.00000069,6643812.99993007,59.92057921180212,10.71831330563601
80509502,TB,142,3,595821.000000688,6643721.99993007,59.91981946529444,10.713891205866615
80507542,TB,619,4,596069.00000069,6643763.99993007,59.920138721551346,10.718344197375954
80509480,TB,142,3,595848.000000688,6643651.99993007,59.919184915202734,10.714341476417555
80509499,TB,142,3,595831.000000688,6643688.99993007,59.91952095460641,10.714054700015371
80509413,TB,121,2,595866.000000688,6643729.99993007,59.919880808001366,10.714699377722644
80507410,TB,143,5,595926.000000689,6643389.99993007,59.91681523552114,10.715614467724993
80507399,TB,142,5,595941.000000689,6643378.99993007,59.916713017137354,10.71587750209085
80507402,TB,143,6,595943.000000689,6643416.99993007,59.91705361505017,10.715930860896494
80507437,TB,143,5,595900.000000689,6643404.99993007,59.9169559130603,10.71515665410899
80509456,TB,121,2,595863.700000688,6643741.69993007,59.91998635434118,10.714663678556681
80507429,TB,142,5,595918.000000689,6643432.99993007,59.9172030364397,10.715491384259424
80509448,TB,143,5,595868.000000688,6643591.99993007,59.91864174462367,10.714671226056288
80507623,TB,143,6,596066.00000069,6643709.99993007,59.919654752555836,10.718265506439257
80509618,TB,142,5,595808.000000688,6643429.99993007,59.91720168201526,10.713523674863046
80507615,TB,142,4,596042.00000069,6643697.99993006,59.91955263946246,10.717830892939421
80517521,TB,142,4,596756.000000695,6644268.99993006,59.924510593115485,10.730861826580174
80517556,TB,142,5,596749.000000695,6644292.99993006,59.92472764240071,10.730747891054525
80517564,TB,671,3,596744.000000695,6644308.99993006,59.92487242009535,10.73066597335217
80517475,TB,143,5,596784.000000696,6644138.99993006,59.923337235928635,10.731301653975418
80517505,TB,143,5,596767.000000695,6644186.99993006,59.92377203935401,10.731020157942613
80517513,TB,143,6,596765.000000696,6644224.99993006,59.92411356895258,10.73100216763214
80517491,FA,122,2,596761.000000695,6644135.99993006,59.92331570896642,10.730889039322044
80517599,FA,319,3,596615.000000694,6644499.99993007,59.92661695126396,10.728448679932981
80490402,TB,142,4,596403.000000692,6642885.99993006,59.91218044298177,10.72390639253564
80490437,TB,143,6,596455.100000693,6642899.59993006,59.91229032651952,10.724843901146398
80490410,TB,111,2,596391.000000692,6642907.99993006,59.91238070457937,10.723702156719188
80490429,TB,136,3,596387.000000692,6642896.99993006,59.91228291087989,10.723625545846454
80487010,TB,311,5,596947.000000697,6643707.99993006,59.919430602476744,10.734014025646688
80486901,TB,142,4,596992.000000697,6643762.99993006,59.91991365870384,10.734844243841573
80487525,TB,142,5,596268.000000692,6642795.99993006,59.91140419509718,10.721451725116689
80487002,FA,511,6,596965.000000697,6643745.99993006,59.919767429727095,10.734353604395668
80487533,TB,142,4,596278.000000692,6642872.99993006,59.91209296127187,10.721666240855281
80487541,TB,181,1,596274.000000692,6642887.99993006,59.91222852488156,10.72160172176631
80486936,TB,311,6,596930.000000697,6643652.99993006,59.91894095979005,10.733684370786182
80487169,TB,142,5,596508.300000693,6643171.29993006,59.914716472403256,10.725921348467095
80487150,TB,181,2,596463.000000693,6643186.99993006,59.91486798293584,10.72511896032475
80487118,TB,143,5,596489.000000693,6643198.99993006,59.914969604318436,10.725589282964114
80487045,TB,142,5,596906.000000696,6643702.99993006,59.919395363995186,10.733278742023854
80487053,TB,311,6,596939.000000697,6643678.99993006,59.91917220080757,10.733857432867316
80487134,TB,181,1,596523.000000693,6643175.99993006,59.91475521610565,10.72618628980025
80487142,TB,142,5,596482.500000693,6643182.79993006,59.91482572509432,10.725465552021618
80487126,TB,142,5,596522.000000693,6643186.99993006,59.91485417848019,10.726173542666851
80485948,TB,142,4,596534.000000693,6643151.99993006,59.91453723419946,10.7263717185224
80485921,TB,511,5,596548.000000694,6643172.99993007,59.914722438277735,10.726631746418452
80485999,TB,142,5,596493.000000693,6643084.99993006,59.91394548359008,10.725607662354244
80485964,TB,142,5,596522.000000693,6643131.99993006,59.9143605368178,10.726147907613782
80485891,TB,641,5,596574.000000694,6643211.99993006,59.91506638730073,10.727114663079345
80485913,TB,319,6,596558.000000694,6643189.99993006,59.91487267717903,10.726818414957547
80486162,TB,311,7,596406.900000693,6643000.89993006,59.913210795190345,10.724029579576188
80486197,TB,142,4,596477.000000693,6642887.99993006,59.912181090821946,10.725229914400309
80486170,TB,311,7,596425.000000693,6642916.99993006,59.91245353505737,10.72431402722243
80486022,TB,311,8,596317.000000692,6643064.99993006,59.913807117744966,10.722452570040893
80486030,TB,239,,596318.000000692,6643062.99993006,59.913788933562316,10.722469513620196
80486006,TB,143,7,596279.000000692,6643121.99993006,59.91432758394479,10.721799867058436
80486014,TB,143,9,596299.000000692,6643081.99993006,59.91396390153514,10.72213874752451
80486138,TB,142,5,596376.000000692,6642955.99993006,59.91281502516397,10.723456397680076
80486154,TB,616,4,596447.300000693,6642963.69993006,59.91286746808033,10.724734341614912
80486049,TB,143,7,596297.000000692,6643037.99993007,59.91356945429803,10.722082540832897
80486065,TB,142,4,596350.000000692,6643037.99993006,59.91355707604393,10.723029842076238
80486316,TB,311,5,596539.000000694,6643212.99993006,59.91508355718473,10.726489526014692
80486340,TB,319,4,596471.200000693,6643218.39993006,59.915147889482135,10.725280157451335
80486324,TB,181,1,596539.000000694,6643195.99993006,59.91493097706995,10.72648160083482
80486332,TB,311,4,596503.000000693,6643214.99993006,59.91510993341386,10.725846979865272
80487207,TB,142,4,596465.000000693,6643153.99993006,59.91457132997593,10.725139336824308
80486510,TB,142,4,596369.000000692,6643140.99993006,59.91447709453285,10.723417369815667
80487177,TB,142,3,596471.000000693,6643165.99993007,59.91467763019259,10.725252171729071
80486626,FA,142,4,596341.000000692,6643101.99993006,59.91413359893645,10.722898752017972
80486642,TB,616,4,596427.400000693,6643170.59993006,59.914729113231004,10.724474999048411
80486634,TB,142,5,596333.000000692,6643081.99993006,59.91395596126052,10.722746457494765
80487215,TB,145,3,596447.000000693,6643160.99993006,59.91463836702846,10.724820862617198
80486731,TB,142,5,596935.000000697,6643816.99993006,59.920411727000335,10.733850546187142
80486758,TB,142,4,596916.000000697,6643814.99993006,59.920398242921095,10.733509943265247
80486707,TB,143,5,596356.000000692,6643062.99993006,59.91378005726548,10.723148715166781
80487320,TB,142,5,596449.000000693,6643031.99993006,59.91348008431031,10.724796532876212
80487355,TB,181,1,596381.000000692,6643056.99993006,59.91372036379159,10.723592765760595
80487398,TB,142,5,596359.000000692,6642933.99993006,59.91262154020733,10.723142317926033
80486766,TB,141,2,596921.000000697,6643803.99993006,59.920298339768706,10.733594178883832
80487339,TB,181,1,596452.000000693,6643044.99993006,59.91359606177082,10.724856207848465
80486774,TB,142,4,596905.000000697,6643801.99993006,59.920284149957574,10.733307208580541
80487347,TB,143,9,596396.000000692,6643050.99993006,59.913663006236234,10.723858078252611
80486669,TB,142,5,596381.000000692,6643101.99993006,59.91412425300988,10.723613708252367
80487274,TB,143,6,596416.000000693,6643080.99993007,59.9139275905753,10.724229517792594
80487231,TB,142,5,596485.000000693,6643125.99993006,59.91431534282499,10.72548377386727
80487258,TB,142,4,596445.000000693,6643122.99993007,59.914297772978735,10.724767417095393
80486693,TB,181,2,596378.000000692,6643062.99993006,59.91377491675816,10.72354193692117
80487312,TB,142,4,596427.000000693,6643038.99993006,59.913548055732846,10.724406574050306
80486677,TB,111,2,596403.000000692,6643099.99993006,59.914101160470736,10.724006002979014
80487282,TB,142,4,596433.900000693,6643051.99993006,59.91366312149245,10.724535955003011
80486685,TB,142,5,596367.000000692,6643080.99993006,59.91393904286879,10.723353701804117
80486871,TB,143,5,596714.000000695,6643798.99993006,59.92030206969286,10.729891271532024
80486855,TB,142,5,596773.000000695,6643776.99993006,59.92009077032335,10.730935738893416
80487460,TB,142,5,596307.000000692,6642857.99993006,59.91195156096469,10.722177578159403
80486863,TB,143,5,596741.000000695,6643783.99993006,59.920161106507734,10.730366944806411
80487517,TB,143,5,596312.000000692,6642923.99993006,59.91254276486604,10.722297631938686
80487495,TB,143,6,596278.000000692,6642814.99993006,59.911572392246676,10.721639281110601
80487436,TB,142,4,596341.000000692,6642969.99993006,59.91294885670297,10.722837347844191
80486812,TB,142,6,596857.000000696,6643759.99993006,59.91991846720308,10.732429455065208
80487444,TB,142,5,596324.000000692,6642878.99993006,59.91213607296741,10.72249118088611
80486782,FA,142,4,596889.000000696,6643783.99993006,59.92012635531523,10.7330127497493
80487428,TB,142,4,596355.000000692,6642988.99993006,59.913116117296916,10.723096413118782
80486820,TB,143,5,596828.000000696,6643751.99993006,59.91985347628361,10.731907281961542
80487452,TB,143,8,596333.000000692,6642954.99993006,59.91281609550927,10.722687384785827
80486790,TB,142,3,596872.000000696,6643772.99993006,59.92003162179475,10.732703692472219
80485484,TB,641,4,594263.000000676,6642127.99993007,59.90587165389101,10.685312920273832
80496729,TB,181,3,594978.000000681,6643537.99993007,59.91836303264738,10.698736330214993
80496745,TB,136,3,594825.00000068,6643421.99993007,59.917357094427025,10.695948107533729
80496710,TB,136,4,594971.000000681,6643510.99993007,59.9181223083974,10.698598809875682
80496753,TB,136,3,594788.00000068,6643354.99993007,59.91676424631029,10.695256026666183
80499078,TB,131,3,595360.000000684,6643310.99993007,59.916237453227154,10.705460549257735
80499108,TB,311,3,595319.000000684,6643334.99993007,59.91646234169519,10.704738713745913
80490488,TB,142,5,596312.000000692,6642810.99993006,59.91152855316056,10.722245087623454
80490453,TB,142,5,596327.000000692,6642812.99993006,59.91154300096089,10.722514105455001
80490518,TB,142,4,596345.000000692,6642783.99993006,59.91127851245177,10.722822321969616
80490496,TB,142,5,596408.000000693,6642853.99993006,59.91189206415727,10.723980862158612
80488599,TB,143,6,596180.000000691,6642866.99993006,59.91206197356226,10.719911916308057
80490631,TB,619,5,596880.000000696,6643688.99993006,59.91927581995989,10.732807397544065
80490607,TB,629,7,596846.000000696,6643695.99993006,59.91934663389858,10.732202868222965
80488688,TB,142,5,596413.000000693,6643151.99993006,59.914565539107556,10.724208950746794
80488602,TB,143,5,596157.000000691,6642866.99993006,59.91206733629307,10.719500841227696
80488661,TB,143,5,596336.000000692,6643178.99993006,59.914825866456624,10.722845202061672
80488653,TB,143,6,596838.000000696,6643733.99993006,59.919689572999474,10.732077630799276
80488831,TB,311,10,596506.000000693,6642855.99993006,59.91188709650917,10.725733316877708
80488742,TB,239,1,596411.000000693,6643095.99993006,59.91406338914271,10.724147131885802
80488750,TB,142,4,596452.000000693,6643074.99993006,59.913865321079236,10.724870179604977
80488726,TB,142,5,596399.700000692,6643125.39993006,59.91432990480495,10.723958842570768
80488734,TB,142,4,596425.800000693,6643099.59993006,59.91409224022262,10.72441334121124
80488769,TB,143,5,596471.000000693,6643057.99993006,59.91370829693609,10.725201861864866
80488955,TB,319,6,596334.000000692,6642755.99993006,59.9110297726321,10.722612703797045
80489064,TB,142,4,596160.800000691,6642797.99993007,59.91144715204238,10.719536724398443
80489048,TB,511,4,596188.700000691,6642770.29993006,59.91119202973809,10.72002250381958
80489056,TB,319,4,596176.000000691,6642786.99993006,59.91134487935777,10.719803278872169
80489080,TB,142,4,596216.000000691,6642942.99993006,59.91273570240805,10.720590643072104
80489072,TB,319,4,596200.000000691,6642803.99993006,59.91149186319166,10.720240112753437
80489005,TB,311,6,596276.000000692,6642759.99993006,59.91107921599256,10.721577972182054
80488971,TB,143,9,596293.000000692,6642756.99993006,59.91104832162745,10.721880406329342
80489021,TB,311,2,596199.000000691,6642793.99993006,59.91140234307069,10.720217595943986
80489013,TB,142,4,596211.000000691,6642765.99993006,59.911148234768966,10.720419060066016
80489196,TB,142,4,596275.000000692,6642907.99993006,59.912407798010626,10.72162889115711
80489226,TB,142,4,596386.000000692,6642878.99993006,59.912121588842844,10.723599296517238
80489188,TB,143,5,596366.000000692,6642891.99993006,59.912242941318766,10.723247888358497
80488998,TB,143,7,596245.000000691,6642760.99993006,59.91109542598232,10.721024395926348
80489250,TB,143,5,596329.000000692,6642853.99993006,59.91191052215259,10.722568918202196
80489234,TB,143,4,596298.000000692,6642896.99993006,59.91230370004708,10.722034855683376
80489242,TB,143,5,596343.000000692,6642870.99993006,59.91205983269652,10.722827043663994
80489102,TB,142,4,596232.000000691,6642929.99993006,59.91261529026312,10.720870573774592
80489110,TB,143,9,596282.000000692,6642942.99993006,59.9127203004138,10.721770272444195
80489153,TB,142,4,596261.000000691,6642915.99993006,59.91248286833117,10.721382387273936
80489161,TB,181,1,596263.000000691,6642902.99993006,59.91236572227736,10.72141209133953
80489137,TB,142,4,596249.000000691,6642914.99993007,59.912476693511664,10.721167446084644
80489145,TB,142,4,596345.000000692,6642905.99993006,59.912373501782696,10.722879069829016
80492073,TB,239,3,596015.00000069,6642725.99993006,59.91083489249933,10.716897536613391
80492103,TB,239,7,595975.000000689,6642476.99993006,59.90860933783806,10.716067288875571
80487592,TB,142,4,596243.000000691,6642816.99993006,59.911598511232825,10.721014671082665
80492154,TB,311,3,595451.000000685,6642774.99993007,59.91140558898091,10.706840151970123
80487614,TB,311,4,596228.000000691,6642793.99993006,59.91139557838342,10.720735897416672
80492162,TB,142,5,595380.000000685,6642796.99993007,59.91161947235118,10.705581327482342
80487606,TB,142,5,596236.000000691,6642805.99993006,59.911501415890505,10.720884452384375
80492111,TB,329,4,595192.000000683,6642551.99993007,59.909463925763596,10.702108663333401
80491794,TB,311,4,596662.900000695,6643787.99993006,59.920215324543186,10.728972611606311
80491743,TB,319,2,596713.000000695,6643744.99993006,59.919817639242474,10.729848165946592
80491778,TB,311,3,596686.000000695,6643768.99993006,59.920039378074485,10.729376698874981
80487568,TB,143,5,596259.000000691,6642779.99993006,59.91126269028744,10.72128343753735
80487576,TB,142,5,596298.600000692,6642813.89993006,59.911557710358515,10.722006944109074
80491816,TB,669,4,596643.000000694,6643810.99993006,59.92042642088375,10.728627594631147
80489536,TB,322,5,596317.000000692,6643201.99993006,59.91503673666049,10.722516288199282
80492189,TB,142,3,595392.000000685,6642791.99993007,59.911571820203605,10.705793497433936
80487622,TB,143,5,596221.000000691,6642780.99993007,59.911280532088504,10.720604751272273
80489595,TB,511,6,596255.000000692,6643071.99993007,59.91388441976261,10.721347651018364
80489625,TB,511,6,596142.000000691,6642889.99993006,59.91227726583102,10.719243424790351
80489633,TB,143,6,596129.00000069,6642867.99993006,59.912082838445755,10.719000865902341
80489617,TB,143,6,596151.000000691,6642908.99993006,59.91244569925272,10.719413101631728
80489560,TB,143,6,596321.000000692,6643159.99993006,59.91465883902106,10.722568250371253
80489544,TB,143,5,596301.400000692,6643176.79993006,59.914814201655005,10.722225728572372
80489579,TB,181,1,596321.000000692,6643173.99993006,59.91478449349728,10.722574762123413
80489587,TB,142,5,596338.000000692,6643144.99993006,59.9145202384389,10.72286513363818
80489919,TB,142,3,596965.000000697,6643797.99993006,59.92023414307624,10.734377961623096
80489927,TB,181,1,596963.000000697,6643780.99993006,59.920082034048605,10.734334244591519
80489900,TB,329,4,596999.000000697,6643776.99993006,59.92003766557186,10.73497594218482
80489951,TB,142,5,596198.000000691,6642883.99993006,59.912210356431416,10.720241522728788
80489978,TB,142,5,596174.000000691,6642897.99993006,59.91234160808062,10.719819073675307
80489935,TB,142,4,596948.000000697,6643808.99993006,59.920336868449866,10.734079202849234
80489897,TB,143,5,596981.000000697,6643787.99993006,59.92014062749645,10.734659310008006
80490062,TB,143,5,596241.000000691,6642893.99993006,59.91229007838851,10.721014703862158
80490011,TB,143,5,596218.000000691,6642866.99993006,59.91205311059129,10.720591083492739
80489986,TB,136,2,596167.000000691,6642884.99993006,59.912226560891895,10.719687926898947
80490003,TB,143,5,596199.000000691,6642916.99993006,59.91250630921134,10.720274722777996
80490054,TB,143,5,596232.000000691,6642865.99993006,59.91204086907303,10.72084083826714
80490038,TB,143,5,596215.000000691,6642906.99993006,59.91241282373385,10.720556046332002
80492405,TB,143,6,595753.000000688,6643291.99993007,59.91597585654149,10.712476696510763
80492413,TB,143,6,595856.000000688,6643273.99993007,59.915790371559886,10.714309487413342
80492383,TB,143,7,595773.000000688,6643278.99993007,59.91585453250019,10.712828183711167
80492448,TB,143,6,595838.800000688,6643285.59993007,59.915898483316134,10.714007408255231
80490658,TB,511,8,596886.000000696,6643648.99993006,59.91891539959204,10.732895937163196
80492421,TB,143,5,595735.000000687,6643301.99993007,59.91606978926171,10.71215956985154
80492340,TB,181,3,595986.000000689,6643223.99993007,59.91531136664826,10.716610043000331
80492324,TB,311,3,595831.000000688,6643229.99993007,59.91540126596734,10.713842252585705
80492332,TB,311,6,595979.000000689,6643207.99993007,59.915169390276546,10.716477504913236
80492375,TB,142,5,595929.000000689,6643231.99993007,59.91539643227949,10.715594896135574
80492367,TB,143,5,595790.300000688,6643260.59993007,59.91568536773551,10.713128908194362
80492499,TB,143,5,595761.000000688,6643325.99993007,59.91627916132752,10.712635420377353
80492502,TB,311,7,595755.000000688,6643357.99993007,59.916567766231005,10.712542967731697
80492529,TB,143,6,595681.000000687,6643378.99993007,59.91677342529969,10.711229897527902
80492510,TB,143,7,595722.000000687,6643360.99993007,59.916602353668495,10.71195446898435
80492472,TB,143,6,595699.000000687,6643320.99993007,59.916248677063734,10.711524848958641
80492456,TB,143,5,595718.000000687,6643309.99993007,59.91614553838245,10.711859391977255
80492464,TB,143,5,595809.500000688,6643305.99993007,59.91608838891404,10.71349311129639
80492480,TB,143,6,595780.000000688,6643316.99993007,59.916193970568116,10.712970885327744
80492634,TB,143,6,595975.000000689,6643088.99993007,59.914102254655255,10.716350856029052
80490895,TB,311,5,596884.000000696,6643726.99993006,59.91961594017175,10.732896687825956
80492618,TB,319,2,595743.000000687,6642980.99993007,59.91318683872006,10.712154161886884
80490909,TB,143,6,596871.000000696,6643744.99993006,59.91978054932043,10.732672712850883
80492626,TB,311,3,595936.000000689,6643066.99993007,59.91391387081393,10.715643580162897
80492650,TB,142,3,595719.300000687,6642967.09993007,59.913067582102514,10.711724135635396
80492669,TB,142,5,595896.000000689,6643038.99993007,59.91367186351355,10.714915660259058
80492642,TB,142,5,595956.000000689,6643041.99993007,59.91368483421497,10.715989474016865
80492545,TB,311,7,596242.200000691,6643197.29993006,59.91501201539117,10.721177097849885
80492537,TB,143,5,596230.000000691,6643162.99993006,59.91470700858341,10.720943091268385
80490879,TB,142,5,596906.000000696,6643663.99993006,59.919045328738804,10.733260486218242
80492588,TB,311,3,595787.000000688,6643022.99993007,59.91355358757041,10.712960020870884
80490887,TB,143,5,596895.000000696,6643716.99993006,59.91952360274683,10.733088651666288
80492596,TB,142,3,595764.600000688,6643002.99993007,59.91337928202007,10.712550402113937
80492553,TB,311,4,595795.000000688,6643069.99993007,59.91397357166136,10.713124750460342
80490860,FA,142,5,596919.000000697,6643685.99993006,59.91923972909436,10.733503179577914
80492561,TB,111,2,595816.000000688,6643036.99993007,59.91367250636179,10.713484834955384
80492774,TB,142,3,595642.000000687,6642965.99993007,59.913075641933425,10.710342009627427
80492766,TB,143,5,595886.000000689,6642991.99993007,59.91325234671599,10.714715162615521
80492839,TB,142,4,595584.000000686,6642972.99993007,59.913151915474806,10.70930857903361
80492782,TB,143,5,595846.000000688,6642998.99993007,59.91332447184968,10.714003461292688
80492693,TB,142,4,595908.000000689,6643009.99993007,59.91340878780514,10.715116715411245
80492707,TB,311,3,595683.000000687,6642965.99993007,59.91306613219136,10.711074821262496
80492677,FA,142,5,595933.000000689,6643023.99993006,59.913528628428985,10.715570040148227
80492685,TB,142,3,595694.000000687,6642962.99993007,59.9130366539791,10.711270043047989
80492731,TB,142,5,595925.000000689,6642930.99993006,59.91269578111672,10.715383976938679
80492820,FA,143,4,595833.000000688,6642943.99993007,59.91283384775525,10.713745655626353
80492758,TB,142,5,595906.000000689,6642964.99993007,59.913005361818094,10.715060129972317
80492715,TB,143,5,595869.000000688,6643017.99993007,59.91348965802733,10.714423348196753
80492944,TB,111,2,595510.000000686,6642906.99993007,59.91257668294895,10.707955502541912
80492952,TB,143,8,595451.000000685,6642924.99993007,59.91275189853034,10.706909277827688
80492928,TB,142,5,595519.000000686,6642927.99993007,59.912763081912665,10.708126046375714
80492936,TB,143,6,595497.000000686,6642920.99993007,59.91270534865414,10.70772960583982
80492987,TB,143,5,595757.000000688,6642759.99993007,59.91120003146804,10.712302218212736
80492960,TB,142,5,595422.000000685,6642928.99993007,59.91279451055306,10.706392794357734
80492979,TB,135,5,595768.000000688,6642808.99993007,59.91163727080409,10.712521470013401
80492863,TB,311,10,595750.000000688,6642890.99993007,59.91237743029606,10.71223766893243
80492847,TB,142,4,595787.000000688,6642946.99993007,59.9128714596743,10.712924871033396
80492898,TB,143,5,595601.000000686,6642923.99993007,59.91270818151207,10.709589810736698
80492901,TB,142,5,595540.000000686,6642921.99993007,59.91270436556949,10.708498618148067
80493053,TB,142,5,595992.000000689,6643244.99993007,59.915498452376994,10.716727025355027
80493045,TB,142,5,596002.000000689,6643228.99993007,59.91535251906537,10.716898354647565
80493061,TB,142,5,595978.000000689,6643267.99993007,59.91570814385321,10.716487439931061
80493002,TB,143,5,595621.000000687,6642780.99993007,59.91142006543614,10.709881258820806
80492995,TB,135,5,595734.000000687,6642803.99993007,59.91160028690422,10.71191148821323
80493010,TB,143,6,595638.900000687,6642808.49993006,59.911662738318235,10.710213875401928
80493029,TB,143,6,595649.000000687,6642823.99993006,59.911799514666356,10.710401547324734
80493207,TB,143,6,595515.000000686,6642763.99993007,59.911292044026254,10.707978925118788
80491565,TB,142,4,596902.000000696,6643764.99993006,59.91995277033225,10.733236257228032
80491573,TB,142,5,596886.100000696,6643751.89993006,59.91983893080413,10.732945882683863
80493193,TB,143,5,595536.000000686,6642804.99993007,59.91165517152993,10.70837315847221
80493223,FA,143,6,595514.000000686,6642849.99993007,59.91206415934039,10.708000709791486
80491646,TB,311,1,596852.000000696,6643554.99993006,59.91807971177433,10.732244165347915
80491654,TB,511,9,596849.000000696,6643612.99993006,59.91860098200646,10.732217669526227
80491638,TB,311,9,596853.000000696,6643569.99993006,59.91821410593571,10.732269058387766
80493215,TB,142,5,595543.000000686,6642825.99993007,59.911842033281346,10.708507954193575
80493150,TB,143,6,595786.000000688,6643365.99993007,59.91663236970848,10.713100803250812
80491492,TB,142,4,596933.000000697,6643768.99993006,59.919981384755786,10.733792315332938
80493169,TB,181,1,595783.000000688,6643348.99993007,59.91648048537596,10.713039313226131
80491530,TB,142,5,596924.000000697,6643776.99993006,59.920055302548704,10.733635168428023
80491557,TB,142,4,596915.000000697,6643789.99993006,59.92017409646016,10.733480361682114
80493177,TB,143,7,595733.000000687,6643484.99993007,59.917712745467334,10.712208431015148
80491514,TB,142,4,596944.000000697,6643753.99993006,59.91984416973994,10.73398193724321
80493185,FA,143,7,595715.000000687,6643509.99993007,59.91794130807759,10.711898221624928
80491697,TB,641,3,596767.000000695,6643716.99993006,59.91955366207022,10.730800429891014
80491689,TB,311,6,596790.000000696,6643690.99993006,59.91931490662649,10.73119943894628
80491727,TB,311,2,596754.000000695,6643748.99993007,59.91984392155294,10.730582988232031
80491719,TB,311,5,596735.000000695,6643730.99993006,59.919686824574605,10.730234915681617
80489269,TB,143,6,596359.000000692,6642862.99993006,59.91198429245653,10.72310928662749
80491662,TB,311,12,596817.000000696,6643651.99993007,59.9189585322899,10.731663868630482
80493142,TB,142,5,595804.000000688,6643354.99993007,59.916529459359936,10.713417469862867
80493231,TB,142,4,595550.000000686,6642852.99993007,59.91208274721579,10.708645519343213
80493320,TB,143,5,595603.000000686,6643048.99993007,59.91382964071886,10.709683258699828
80493339,TB,142,4,595613.000000687,6643071.99993007,59.91403375627126,10.709872616070603
80493274,TB,143,5,595569.000000686,6642898.99993007,59.91249121297384,10.709006330306362
80493282,TB,142,5,595533.000000686,6642901.99993007,59.912526479236476,10.708364280148189
80493258,TB,142,5,595557.000000686,6642872.99993007,59.91226063327498,10.70877985700894
80493266,TB,142,5,595524.000000686,6642881.99993007,59.9123490559655,10.70819419742068
80493312,TB,111,2,595596.000000686,6643022.99993007,59.91359790337536,10.709546140195776
80493290,TB,143,7,595576.000000686,6642920.99993007,59.91268704941033,10.709141594508411
80493444,TB,143,6,595666.000000687,6643305.99993007,59.916121703235724,10.710928038523285
80493428,TB,142,4,595655.000000687,6643244.99993007,59.91557675708298,10.710703233768584
80493452,TB,239,2,595691.000000687,6643297.99993007,59.916044099971316,10.711371218724844
80493363,TB,111,3,595651.000000687,6643136.99993007,59.914608344318886,10.710581849108937
80493347,TB,142,5,595622.000000687,6643102.99993007,59.91430990642754,10.710047795581518
80493398,TB,142,5,595685.000000687,6643162.99993007,59.91483381695631,10.711201587944865
80493371,TB,142,5,595646.000000687,6643169.99993007,59.914905691365576,10.710507719315318
80493509,TB,143,6,595702.000000687,6643482.99993007,59.917701990497775,10.71165335239168
80493487,TB,143,6,595700.000000687,6643459.99993007,59.91749602121314,10.711606969453396
80493479,TB,143,6,595692.000000687,6643419.99993007,59.91713886301545,10.711445475941566
80492219,TB,142,4,595421.600000685,6642809.99993007,59.91172653059675,10.706330821360732
80492197,TB,142,5,595417.000000685,6642786.99993007,59.91152116056105,10.706238011418336
80492200,TB,143,5,595481.000000685,6642868.99993007,59.912242332509116,10.707419661400474
80492308,TB,311,16,595880.000000688,6643173.99993007,59.91488725673552,10.714692182925644
80492316,TB,311,5,596000.000000689,6643194.99993007,59.91504782287594,10.71684684330987
80492251,TB,143,5,595436.000000685,6642851.99993007,59.91210016566537,10.706607541229024
80492235,FA,142,5,595429.300000685,6642820.49993007,59.911818990834384,10.70647327930761
80492243,TB,142,5,595493.000000685,6642890.99993007,59.91243701301527,10.707644280961492
80493355,TB,142,5,595629.000000687,6643136.99993007,59.91461344622184,10.710188614831234
80492294,TB,311,5,596021.00000069,6643181.99993007,59.91492625445036,10.717216178994894
80492286,TB,143,6,595448.000000685,6642897.99993007,59.91251025710553,10.706843215124616
80499086,TB,136,3,595324.000000684,6643294.99993007,59.91610216991393,10.70480967593215
80499094,TB,131,2,595360.000000685,6643319.99993007,59.91631823180762,10.705464694078321
80499205,TB,143,6,595379.000000685,6643458.99993007,59.91756141770915,10.705868353929388
80499213,TB,143,7,595392.000000685,6643477.99993007,59.91772894308068,10.706109494735449
80499183,TB,143,6,595371.000000685,6643444.99993007,59.9174376124963,10.705718897814354
80499191,TB,143,5,595327.000000684,6643462.99993007,59.9176093435877,10.704940647700148
80499248,TB,112,3,595205.000000683,6644020.99993007,59.92264580446796,10.70301641078335
80499256,TB,111,3,595202.000000683,6644010.99993007,59.922556743221804,10.702958174988215
80499221,TB,142,3,595214.000000683,6644033.99993007,59.92276040624642,10.703183299339248
