building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80268750,TB,181,1,600329.000000723,6643887.99993004,59.92023707051335,10.794558398644067
80267932,TB,142,4,600620.000000725,6643756.99993004,59.918990442362656,10.799696776924762
80267924,TB,142,4,600587.000000725,6643723.99993004,59.91870232053422,10.79909084234893
80267916,TB,142,4,600551.000000725,6643686.99993004,59.918379027618414,10.798429349114178
80267983,TB,142,4,600595.000000725,6643791.99993004,59.91931066517358,10.799266889097632
80267975,TB,142,4,600568.000000725,6643758.99993004,59.91902107806576,10.798768207198277
80267967,TB,142,4,600537.000000725,6643719.99993004,59.9186786146074,10.79819511765688
80267959,TB,142,4,600510.000000724,6643690.99993004,59.91842492314474,10.797698396509185
80267940,TB,142,4,600643.000000726,6643796.99993004,59.919343826839764,10.800127365681078
80268041,TB,142,4,600421.000000724,6643756.99993004,59.9190389545487,10.796139489470557
80268033,FA,142,3,600443.000000724,6643727.99993004,59.91877332232771,10.796518688118248
80268025,FA,142,3,600458.000000724,6643754.99993004,59.91901199204202,10.796799925101778
80268017,FA,142,3,600473.000000724,6643782.99993004,59.919259636084405,10.797081651470872
80268009,TB,142,3,600501.000000724,6643798.99993004,59.9193964116925,10.797589945545543
80267991,TB,142,3,600530.000000725,6643811.99993004,59.91950601666455,10.798114663040439
80268092,FA,142,4,600432.000000724,6643885.99993004,59.92019404502798,10.796398706876518
80268084,FA,142,5,600465.000000724,6643931.99993004,59.92059885354209,10.797010955077074
80268076,FA,142,5,600523.000000724,6643858.99993004,59.91992954588995,10.79801235290337
80268068,FA,142,4,600478.000000724,6643846.99993004,59.91983281476471,10.797202094299832
80285124,TB,239,1,599646.000000718,6643545.99993005,59.91733323855986,10.782184062456286
80285426,TB,239,1,599749.000000718,6643614.99993004,59.91792761291329,10.784058435025146
80287887,TB,311,7,600742.800000726,6643343.79993004,59.91525201539548,10.801690876310612
80287844,TB,212,3,600686.000000726,6643567.99993004,59.9172780684563,10.80078466435303
80287976,TB,211,3,600473.000000724,6643589.99993004,59.91752746954425,10.796987989199591
80287992,TB,311,12,600657.000000725,6643134.99993004,59.91339899702766,10.800055820325573
80287933,TB,219,4,600539.000000725,6643579.99993004,59.91742163384032,10.798162884397051
80287941,TB,239,4,600545.000000725,6643609.99993004,59.91768941947802,10.798284702610783
80286260,TB,239,7,600099.000000721,6643266.99993004,59.91471950266808,10.790146565129046
80286236,TB,311,1,600065.000000721,6643545.99993004,59.91723177747657,10.789673688317576
80288271,TB,311,3,600552.000000725,6643332.99993004,59.91520165081797,10.798275313848569
80286341,TB,231,1,600120.000000721,6643407.99993004,59.91597987898891,10.790590082182241
80286333,TB,211,2,600196.000000722,6643418.99993004,59.916060145602515,10.791953847438075
80286538,TB,219,1,600239.000000722,6643437.99993004,59.91622022052857,10.79273163916697
80288018,TB,611,2,600737.000000726,6643788.99993004,59.9192490731583,10.801803812845968
80286511,TB,211,3,600280.000000723,6643435.99993004,59.91619230266696,10.793463519278847
80286481,TB,181,,600210.000000722,6643686.99993004,59.918462038806595,10.792333796213049
