building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80234511,TB,122,2,605074.00000076,6648167.99993001,59.95746611133302,10.881554132836287
80234503,TB,111,1,605136.000000761,6649203.99993002,59.966747828000855,10.8831913806742
80234600,TB,136,2,605116.000000761,6648301.99993001,59.95865796952644,10.882373975494172
80234554,TB,181,1,605010.00000076,6648121.99993002,59.95706961379848,10.88038541320291
80224222,TB,321,3,604313.000000754,6647547.99993002,59.95209540457417,10.867622243039373
80224214,TB,659,1,603936.000000752,6648110.99993002,59.95724342253044,10.861159946744136
80224435,TB,181,,603782.00000075,6648075.99993003,59.95696815986086,10.858386402015325
80224427,TB,111,1,603783.00000075,6648094.99993003,59.95713842511782,10.858413847939293
80224400,TB,122,2,603833.000000751,6647936.99993003,59.955707832666334,10.859229181778925
80224613,TB,111,1,603133.000000745,6647926.99993003,59.95579401930482,10.846697637091335
80224605,TB,181,1,603879.000000751,6647936.99993003,59.95569622971961,10.860052349637659
80224591,TB,122,3,603901.000000751,6647943.99993003,59.95575350078386,10.860449560568531
80224567,TB,122,2,603957.000000752,6647932.99993002,59.95564064509585,10.861446140713772
80224532,FA,136,3,604221.000000754,6647562.99993002,59.95225331739656,10.865983661203776
80224664,TB,181,1,604133.000000753,6647575.99993002,59.952392249304516,10.864415627581115
80224656,TB,111,2,604123.000000753,6647558.99993002,59.952242210211175,10.86422812623882
80224648,TB,111,2,603253.000000746,6647969.99993003,59.95614985363912,10.84886655265181
80226101,FA,181,1,603423.000000747,6647660.99993003,59.953334024738496,10.851753996170011
80226098,TB,121,2,603422.000000748,6647675.99993003,59.95346889542689,10.851743613952838
80226071,TB,111,1,603358.000000747,6647675.99993003,59.95348496480268,10.850598408209425
80226063,TB,121,2,603331.000000747,6647694.99993003,59.9536622593095,10.850124780512267
80227108,TB,181,1,603663.000000749,6647555.99993003,59.952331341344305,10.855995787633645
80228368,FA,142,4,604130.000000753,6647336.99993002,59.9502480847098,10.864241462806755
80227094,TB,121,1,603268.000000746,6647910.99993003,59.95561658763859,10.84910547562463
80228341,FA,142,5,604169.000000753,6647291.99993002,59.9498343660198,10.864916557300084
80227078,FA,121,2,603344.000000747,6647512.99993003,59.95202561180186,10.850266334129634
80228430,TB,142,5,604315.000000754,6647215.99993002,59.94911534455988,10.86749037117826
80227167,FA,142,3,603779.00000075,6647554.99993003,59.952293149125424,10.858070891168845
80228422,FA,142,5,604329.000000754,6647174.99993002,59.94874384136655,10.867720144624922
80227159,TB,143,12,603722.00000075,6647588.99993002,59.95261264685029,10.857068056541362
80228414,FA,142,5,604454.000000756,6647099.99993002,59.94803906672724,10.869918613281905
80227124,TB,142,3,603755.00000075,6647502.99993003,59.95183251725656,10.857615334532282
80228406,TB,181,1,604094.000000753,6647191.99993002,59.94895587153281,10.863524288016782
80227116,TB,142,3,603665.000000749,6647601.99993003,59.95274367013513,10.856054662079401
80228384,FA,142,5,604139.000000753,6647210.99993002,59.94911501240085,10.864338972831739
80228481,TB,142,5,604237.000000754,6647085.99993002,59.94796839950714,10.866029256409028
80227205,TB,143,12,603989.000000752,6647659.99993003,59.95318250355737,10.861881308298344
80228473,TB,142,5,604329.000000755,6647103.99993002,59.94810664755488,10.86768429079951
80227191,TB,181,1,603885.000000751,6647638.99993002,59.95302028766259,10.860009812018879
80228465,TB,142,5,604195.000000753,6647159.99993002,59.94864314534135,10.865315166352882
80227183,FA,143,12,603862.000000751,6647625.99993002,59.95290941974467,10.859591723846554
80228457,TB,142,5,604252.000000754,6647177.99993002,59.9487902632056,10.86634404122093
80227175,FA,142,3,603794.00000075,6647649.99993002,59.95314195583687,10.858387029979795
80228546,TB,142,5,604304.000000754,6647251.99993002,59.949441214773536,10.867311742739714
80227256,TB,142,3,604113.000000753,6647806.99993002,59.95447043253296,10.864174215825882
80228538,TB,142,5,604393.000000755,6647166.99993002,59.94865582774517,10.868861133304929
80227248,TB,142,3,604037.000000752,6647768.99993002,59.954148608144386,10.862795108794264
80228511,TB,142,5,604184.000000753,6647115.99993002,59.94825104682665,10.865096175895667
80227221,TB,142,3,603934.000000751,6647746.99993002,59.953977178516176,10.860940944471196
80228503,TB,142,5,604278.000000754,6647098.99993002,59.948074690354105,10.866769337072032
80227213,FA,142,3,603978.000000752,6647592.99993002,59.95258398407831,10.861650748320384
80228597,TB,142,2,604256.000000754,6646981.99993002,59.94703023528956,10.866316701930081
80227299,TB,121,2,603250.600000746,6647709.39993003,59.95381166221646,10.8486933052002
80228589,TB,142,2,604225.000000754,6646981.99993002,59.947038080885825,10.865762105199648
80227280,FA,121,2,603373.000000747,6647711.99993003,59.95380428644437,10.850884835383034
80228562,TB,142,5,604281.000000754,6647328.99993002,59.95013808050496,10.866939107707735
80227272,TB,142,3,604056.000000753,6647827.99993002,59.954673307102986,10.863164824917074
80228554,TB,142,5,604394.000000755,6647105.99993002,59.94810812642765,10.868848201281713
80227264,TB,142,3,604100.000000753,6647852.99993002,59.95488654965199,10.863964779093386
80227353,TB,111,1,603330.000000747,6647739.99993003,59.954066369172665,10.850129401871932
80228627,TB,142,3,604356.000000755,6647030.99993002,59.94744466448364,10.86813047005716
80227337,TB,181,,603432.000000748,6647514.99993003,59.952021467404975,10.851841924308447
80228619,TB,142,2,604331.000000755,6647015.99993002,59.947316379498986,10.867675635190764
80227329,TB,121,2,603430.000000748,6647529.99993003,59.95215658929135,10.851813649638162
80228600,TB,142,2,604285.000000754,6646990.99993002,59.947103664854225,10.86684006044879
80227302,TB,121,2,603449.000000748,6647529.99993003,59.95215181666471,10.852153618891684
80229313,TB,142,5,604358.000000755,6647273.99993002,59.94962497531022,10.868288996917913
80227434,TB,111,2,603218.000000746,6647858.99993003,59.95516244325307,10.848184732236257
80228651,TB,136,3,604137.700000753,6646925.59993002,59.94655399621309,10.864171861984572
80229305,TB,181,1,604412.000000755,6647290.99993002,59.94976385579718,10.869263734631152
80227388,TB,111,1,603348.000000747,6647768.99993003,59.954322116358874,10.850466009572294
80228635,TB,142,2,604382.000000755,6647045.99993002,59.94757269444959,10.868603198899928
80227361,TB,111,1,603339.000000747,6647753.99993003,59.95418975555666,10.850297454873383
80227477,TB,181,1,603260.000000746,6647824.99993003,59.9548467744113,10.848919311249583
