building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80202571,TB,322,6,599454.000000716,6644928.99993005,59.92979206536837,10.77941664625305
80202490,TB,136,3,599768.000000719,6645558.99993005,59.935370425104836,10.785335408709244
80199945,FA,219,5,599618.000000718,6644823.99993005,59.928810083526734,10.782298695127537
80202482,TB,181,1,599792.000000719,6645532.99993005,59.935131263981276,10.785752095297138
80200013,TB,311,5,599400.400000716,6644797.29993005,59.92862298369445,10.778394902167925
80202601,TB,311,6,599368.000000716,6645233.99993005,59.93255019277428,10.778025330364667
80200064,TB,122,3,600059.000000721,6645512.99993005,59.934887018983964,10.790517597084785
80200188,FA,121,3,599971.00000072,6645505.99993005,59.93484555251213,10.788940382185698
80202628,TB,143,7,599593.000000718,6645568.99993005,59.93550250793849,10.78221039095617
80200161,TB,122,2,599989.000000721,6645481.99993005,59.93462578597239,10.789250697377385
80200145,TB,181,1,599987.00000072,6645455.99993005,59.93439292196874,10.7892023578534
80200137,TB,122,2,599996.000000721,6645453.99993005,59.93437278820659,10.789362348345211
80200226,TB,111,2,599905.00000072,6645482.99993005,59.93465513438643,10.78774889820202
80200358,TB,659,1,599742.000000719,6645230.99993005,59.93243292091631,10.784712213610161
80200366,TB,111,2,599925.00000072,6645438.99993005,59.93425538608662,10.788085324155121
80200250,TB,181,1,599974.00000072,6645538.99993005,59.93514099880071,10.789009989319009
80200331,TB,122,3,599962.20000072,6645448.59993005,59.9343325237716,10.788755253260543
80200242,TB,122,2,599978.00000072,6645542.99993005,59.9351759282249,10.789083461537874
80201206,TB,122,2,599900.80000072,6645574.69993005,59.93547915819356,10.787718084211567
80201184,TB,143,5,599550.000000717,6645175.99993005,59.93198571870176,10.781252168638249
80201192,TB,111,2,599939.00000072,6645530.99993005,59.93507768890625,10.788380162556834
80201168,TB,143,5,599498.000000717,6645219.99993005,59.932393176964446,10.780343420872061
80201176,TB,142,4,599446.000000716,6645256.99993005,59.932737803883995,10.7794312850312
80201257,TB,143,8,599412.000000716,6645141.99993005,59.93171387888167,10.778767976359553
80201265,TB,143,5,599491.000000717,6645136.99993005,59.93164994026404,10.780178314335846
80201230,TB,321,2,599432.000000716,6645140.99993005,59.93170007907969,10.779125152273124
80201249,TB,143,5,599452.000000716,6645149.99993005,59.931776028549145,10.77948713603762
80201222,TB,143,5,599420.000000716,6645206.99993005,59.93229532578339,10.778942282643385
80201516,FA,181,1,599965.00000072,6645426.99993005,59.934137985095944,10.788794887833909
80201338,TB,143,6,599437.400000716,6644901.19993005,59.9295465647907,10.7791064456274
80201281,TB,142,4,599452.000000716,6645086.99993005,59.93121060202856,10.779456845104765
80201389,TB,311,5,599438.000000716,6644832.99993005,59.92893432305714,10.779084393296747
80201559,TB,615,3,599745.000000719,6645507.99993005,59.934918268456045,10.784899459849498
80201532,TB,619,4,599673.100000718,6645543.79993005,59.93525697080112,10.78363081909452
80201605,TB,181,1,599654.000000718,6645264.99993005,59.93275935963993,10.783154875975846
80201591,TB,143,5,599685.000000718,6645203.99993005,59.932204387174814,10.783679859773526
80201680,TB,143,6,599479.000000717,6645007.99993005,59.930495059058636,10.779901681576932
80201672,TB,143,5,599603.000000717,6645075.99993005,59.93107541194931,10.782151810984558
80201664,TB,143,6,599574.000000717,6645096.99993005,59.931270894706074,10.7816433287059
80201656,FA,142,5,599670.000000718,6645106.99993005,59.931337439674174,10.78336487242098
80201648,TB,143,5,599617.000000718,6645163.99993005,59.931861829168604,10.78244454662199
80201621,TB,143,5,599699.000000718,6645130.99993005,59.93154582545058,10.78389503534135
80201745,TB,612,2,599752.000000719,6645422.99993005,59.93415369961781,10.784983650594056
80201508,TB,136,2,599975.00000072,6645419.99993005,59.93407273435825,10.788970344261088
80201729,TB,122,2,600003.000000721,6645534.99993005,59.935098062173275,10.78952670762351
80201699,TB,143,6,599523.000000717,6645002.99993005,59.930439561539124,10.78068609107883
80201761,TB,143,5,599508.000000717,6645526.99993005,59.935146092317154,10.78066996762943
80201915,TB,122,2,599918.00000072,6645296.99993005,59.93298263625883,10.787891530445421
80201893,TB,181,1,599889.00000072,6645333.99993005,59.933321740800004,10.787390781039807
80201885,FA,111,2,599894.00000072,6645338.99993005,59.933365403745285,10.787482614156174
80201869,TB,122,2,599865.00000072,6645549.99993005,59.93526615383526,10.787065880557712
80201842,TB,111,2,599932.00000072,6645239.99993005,59.93246766778706,10.788114357703062
