building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80164904,TB,111,2,600775.000000728,6656950.99993007,60.037366518655034,10.808916846278152
80164890,TB,181,1,600702.000000727,6656476.99993007,60.03313040906377,10.80737479445988
80164874,TB,111,2,600702.000000727,6656464.99993007,60.03302271208609,10.807368910322129
80164882,TB,181,1,600711.000000727,6656459.99993007,60.0329756302034,10.80752789384753
80164866,TB,111,2,600678.000000727,6656262.99993007,60.03121569963992,10.806839396265666
80164963,TB,111,2,600795.000000728,6655840.99993007,60.02739964445232,10.808730879891998
80164971,TB,181,,600801.000000728,6655831.99993007,60.02731739861207,10.808834069505654
80164947,TB,111,2,600978.000000729,6656053.99993007,60.02926629323828,10.812117530195346
80164955,TB,111,2,600731.200000727,6656274.39993007,60.03130496037618,10.807799197817879
80164920,TB,111,1,600711.000000727,6656798.99993007,60.036018068762964,10.807694152240733
80164939,TB,181,,600723.000000727,6656789.99993007,60.03593435123455,10.807905004030212
80163878,TB,319,1,597612.000000703,6652331.99993008,59.99667532033309,10.749979317136647
80165099,TB,161,1,600660.000000727,6655495.99993007,60.024336472629614,10.806140745562816
80163894,FA,613,2,598341.000000709,6653214.99993008,60.004426494844694,10.763463426319014
80165102,TB,181,1,600653.000000727,6655513.99993007,60.02449973442534,10.806024034030179
80165048,TB,181,1,600820.000000728,6655680.99993007,60.02595754624668,10.809100723476966
80165064,TB,111,1,600708.000000727,6657296.99993007,60.04048822500661,10.807884630975204
80165005,TB,111,2,600817.000000728,6656216.99993007,60.030768746572406,10.809309960693188
80165021,TB,111,2,600811.000000728,6655700.99993007,60.02613925115467,10.80894913525708
80164998,TB,111,1,600871.000000729,6656308.99993007,60.031581156552065,10.810323687377581
80165196,TB,111,2,600765.000000728,6655559.99993007,60.02488510280154,10.808055047618138
80163959,TB,671,1,598777.000000712,6652683.99993008,59.999556215431355,10.771022647473703
80163916,TB,619,2,598326.000000709,6653168.99993008,60.004017234102605,10.763172614006043
80165145,TB,111,2,600632.300000727,6655575.39993007,60.025055858955106,10.80568289646332
80165137,TB,111,2,600634.000000727,6655561.99993007,60.02493518041464,10.805706820073143
80165110,TB,111,1,600643.000000727,6655522.99993007,60.02458295856312,10.8058491151911
80163991,TB,111,2,598808.900000712,6654425.39993008,60.01517753695592,10.772430599606297
80164009,TB,181,1,598807.000000712,6654436.99993008,60.01528210335401,10.772402110467638
80165269,TB,181,,600549.000000726,6655262.99993007,60.022272546177234,10.80403622900969
80165285,TB,111,2,600624.900000726,6655234.79993007,60.02200086568579,10.805383421130879
80165250,TB,111,2,600561.000000726,6655246.99993007,60.02212601122442,10.804243578244483
80163967,GR,181,1,598776.000000712,6652712.99993008,59.999816729939404,10.77101864325833
80163975,TB,662,2,598879.000000713,6653317.99993008,60.00522181315583,10.773155027957328
80165242,TB,111,2,600579.000000726,6656369.99993007,60.03220026813793,10.805116098859813
80164254,TB,619,1,594062.000000676,6658366.99993011,60.0516691350054,10.689130487788558
80164262,TB,181,1,594070.000000676,6658379.99993011,60.05178397898034,10.689280038505892
80165331,TB,181,1,600594.000000726,6656135.99993007,60.03009649835561,10.805270549528363
80164157,TB,161,1,599134.000000715,6655178.99993008,60.021862696258204,10.778622356723336
80164041,TB,161,1,598813.000000712,6655788.99993008,60.02741476987136,10.773159653352499
80165323,TB,111,2,600717.000000727,6656965.99993008,60.03751537808704,10.80788370669019
80164084,TB,111,1,598914.000000713,6655853.99993008,60.02797381790666,10.775002338043398
80165307,TB,111,2,600679.000000727,6656123.99993007,60.02996796353562,10.806789202137175
