building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80144164,TB,122,2,597556.000000702,6648425.99993007,59.96163183313768,10.747127472126865
80140096,TB,122,2,597476.000000701,6647982.99993007,59.95767479406097,10.745486349784638
80140061,TB,181,1,597065.000000698,6647912.99993007,59.95714363595575,10.738097691306827
80144156,TB,111,2,597396.000000701,6648497.99993007,59.96231593233675,10.74429756248464
80144121,FA,111,2,597590.000000702,6648454.99993007,59.9618840528172,10.74774975830169
80140053,TB,111,2,597071.000000698,6647934.99993007,59.957339675470806,10.73821541613373
80144148,TB,121,2,597432.000000701,6648528.99993007,59.962585642268074,10.744956584020882
80140177,FA,111,1,597245.0000007,6648225.99993007,59.95991038809593,10.741466566404165
80140185,TB,122,2,597147.000000699,6648188.99993007,59.95960144485619,10.73969511115449
80140150,TB,111,2,597212.000000699,6648238.99993007,59.96003485939045,10.740882041589247
80140169,TB,122,2,597286.0000007,6648184.99993007,59.95953271910309,10.742181077687079
80140134,FA,111,1,597390.000000701,6647974.99993007,59.957623345505844,10.743943421006714
80140142,TB,111,2,597269.0000007,6648206.99993007,59.95973418985946,10.741887174835897
80140118,TB,122,2,597481.000000701,6647902.99993007,59.95695559802749,10.745538064476879
80144172,TB,111,1,597564.000000702,6648465.99993007,59.96198894261031,10.747289573737541
80140126,TB,181,1,597469.000000701,6647911.99993007,59.9570392154677,10.74532755205929
80144180,TB,181,1,597557.000000702,6648476.99993007,59.96208932820026,10.747169476876676
80140231,TB,111,2,596990.000000698,6648005.99993007,59.957996004205306,10.736799109684767
80140258,FA,111,2,597088.000000698,6647975.99993007,59.95770364951477,10.73853894545507
80140215,TB,121,2,597157.000000699,6648073.99993007,59.95856693953753,10.739819971363874
80140193,FA,122,2,597165.000000699,6648263.99993007,59.960270334895306,10.740052581359976
80140207,FA,122,2,597130.000000699,6648060.99993007,59.95845663324415,10.739330617834534
80141947,TB,122,3,597674.000000703,6648158.99993007,59.95920749083336,10.749113244748221
80141920,TB,111,2,597662.000000703,6648123.99993007,59.95889620808098,10.748881912031552
80141912,TB,181,1,597129.000000699,6647621.99993007,59.95451676353386,10.7391062121873
80141890,FA,111,2,597126.000000698,6647644.99993007,59.95472390049715,10.739063343265785
80141904,FA,111,2,597115.000000698,6647619.99993007,59.954502115398334,10.73885473464602
80141998,TB,122,2,597792.000000704,6648109.99993007,59.95873969631602,10.751201987367876
80142005,TB,181,1,597801.000000704,6648115.99993007,59.958791409079964,10.751365908702752
80141971,TB,111,2,597795.000000704,6648141.99993007,59.95902618761204,10.751270839076199
80142056,TB,122,2,597777.000000704,6648083.99993007,59.958509905919584,10.750921208463035
80142323,FA,111,2,597290.0000007,6647657.99993007,59.95480185981591,10.74200434392411
80142064,FA,122,2,597798.000000704,6648173.99993007,59.95931267885488,10.751339692016492
80142021,TB,111,2,597869.000000704,6648088.99993007,59.95853292097674,10.752570150985203
80142048,TB,122,2,597609.000000702,6648137.99993007,59.95903442965592,10.74793994939484
80142013,TB,111,3,597878.000000704,6648117.99993007,59.958791059706655,10.752744977829572
80142374,TB,111,2,597256.0000007,6647625.99993007,59.9545226864765,10.741380821815403
80142382,TB,122,2,597233.000000699,6647639.99993007,59.95465377091981,10.74097581756216
80142358,TB,122,2,597582.000000702,6648081.99993007,59.95853822255531,10.74743023751404
80142110,TB,111,1,597571.000000702,6648273.99993007,59.96026405684529,10.747324111456484
80142366,TB,122,2,597370.0000007,6647625.99993007,59.95449574393954,10.7434209045196
80142099,TB,111,2,597518.000000702,6648354.99993007,59.96100360209675,10.746413756167563
80142102,TB,111,2,597558.000000702,6648305.99993007,59.960554342391625,10.747106554319197
80142072,TB,122,2,597470.000000701,6648365.99993007,59.96111369699879,10.745559801677215
80142080,FA,122,2,597494.000000702,6648360.99993007,59.96106313780818,10.745987015804614
80142331,TB,111,2,597215.000000699,6647656.99993007,59.954810599185855,10.740661700532707
80142196,TB,111,2,597817.000000704,6648212.99993007,59.959658194428584,10.75169823297601
80142161,TB,121,2,597248.0000007,6647684.99993007,59.95505411139825,10.74126544257807
80142188,TB,111,2,597266.0000007,6647668.99993007,59.95490625687746,10.74158003003029
80142420,TB,112,2,597303.0000007,6647608.99993007,59.95435900448128,10.74221389895113
80142145,TB,181,1,597208.000000699,6647677.99993007,59.9550007306167,10.740546316486775
80142153,TB,181,1,597175.000000699,6647662.99993007,59.95487389245654,10.73994869808644
80142129,FA,111,2,597013.000000698,6648069.99993007,59.958564997274074,10.73724082349267
80142137,TB,122,2,597198.000000699,6647679.99993007,59.95502104173304,10.740368300404489
80142471,FA,122,2,597232.000000699,6647578.99993007,59.954106521186176,10.740929201102857
80142498,TB,111,1,597684.000000703,6648095.99993007,59.95863968478361,10.749262414080485
80142234,TB,111,2,597643.000000703,6648166.99993007,59.95928664578822,10.748562192618516
80142242,TB,111,1,597715.900000703,6648285.89993007,59.960336491307295,10.749923236785651
80142463,TB,111,1,597090.000000698,6648384.99993007,59.96137402733342,10.738767099811628
80142455,TB,111,1,597115.000000699,6648374.99993007,59.96127837826936,10.73920987470082
80142439,TB,111,1,597157.000000699,6648353.99993007,59.96107998878948,10.739951753805874
80142218,FA,122,2,597737.000000703,6648060.99993007,59.95831297613402,10.750194418178987
80142447,TB,111,1,597134.000000699,6648364.99993007,59.96118414357215,10.739545252489659
80142226,TB,111,2,597750.000000703,6648033.99993007,59.95806756122788,10.750414301187616
80142293,TB,122,2,597344.0000007,6647638.99993007,59.954618568694144,10.742961750815407
80142544,TB,111,2,597877.000000705,6648254.99993007,59.96002088820604,10.75279203527729
80142307,TB,121,2,597313.0000007,6647655.99993007,59.95477847427855,10.742415000713514
80142552,TB,122,2,597206.000000699,6647588.99993007,59.95420241175134,10.740468631275277
80142536,FA,122,2,597632.000000703,6648072.99993007,59.958445591809706,10.748320860306203
80142501,TB,111,2,597694.000000703,6648134.99993007,59.95898734201386,10.749459845840638
80142528,TB,136,2,597608.000000702,6648086.99993007,59.95857693466508,10.74789793863619
80142609,TB,122,1,597173.000000699,6647644.99993007,59.95471281117618,10.739904436595745
80142617,TB,111,2,597152.000000699,6647612.99993007,59.95443056072699,10.739513574503574
80142587,FA,122,2,597825.000000704,6648052.99993007,59.95822027423388,10.75176560096315
80142595,TB,111,2,597827.000000704,6648092.99993007,59.958578803831315,10.751820349679647
80142560,TB,111,2,597892.000000705,6648294.99993007,59.96037632602739,10.753079479228983
80142676,TB,111,1,597447.000000701,6647598.99993007,59.95423519875046,10.744786112313207
80142684,TB,111,2,597434.000000701,6647574.99993007,59.95402287126082,10.744542150191446
80142641,TB,111,1,597088.000000698,6647664.99993007,59.954912366210614,10.738392712920101
80142668,TB,111,2,597873.000000704,6648237.99993007,59.95986926228166,10.752712381833781
80142625,TB,111,2,597180.000000699,6647599.89993007,59.954306378383784,10.740008482285127
80142633,FA,111,1,597107.000000698,6647709.99993007,59.95531176910911,10.738753892907818
80142730,TB,122,2,597405.000000701,6647485.99993007,59.953230942766794,10.743981213248587
80142714,TB,111,2,597407.000000701,6647532.99993007,59.95365230241369,10.744039170345026
80142722,TB,121,2,597402.000000701,6647508.99993007,59.95343808121039,10.74393837629949
80142692,TB,181,1,597435.000000701,6647567.99993007,59.95395980850104,10.744556742739896
80142706,FA,122,2,597421.000000701,6647555.99993007,59.95385541911507,10.74430054986423
80142803,TB,111,2,597673.000000703,6648040.99993007,59.958148662321165,10.74903951951844
80142773,TB,111,2,597919.000000705,6648265.99993007,59.960109626355525,10.753548982937168
80142781,TB,181,1,597906.000000705,6648275.99993007,59.96020246948119,10.753321046933332
80142757,FA,121,2,597884.000000704,6648274.99993007,59.96019872609038,10.752926807261513
80142579,TB,111,2,597900.000000705,6648318.99993007,59.96058982622026,10.753234049945512
80142765,TB,121,2,597926.000000705,6648284.99993007,59.9602784883355,10.753683284941989
80142889,TB,111,2,597848.000000704,6648193.99993007,59.959480300097994,10.752244069672532
80142862,TB,136,2,597068.000000698,6647620.99993007,59.95452217319832,10.738014116231552
80142854,TB,111,1,597600.500000702,6647909.49993007,59.956985625211786,10.747679796714941
80142838,TB,111,2,597855.000000704,6648061.99993007,59.95829392071125,10.752306787864352
80142919,TB,181,1,597635.000000703,6648316.99993007,59.960634813411794,10.748489954477657
80142927,TB,124,2,597837.000000704,6648149.99993007,59.95908800926258,10.75202633832096
80142900,TB,111,1,597643.000000703,6648315.99993007,59.960623940775896,10.748632671093556
80142978,TB,111,2,597604.000000702,6648002.99993007,59.95782397122986,10.747786636158875
80142986,TB,122,2,597629.000000703,6647980.99993007,59.95762059051044,10.748223662930279
80142951,FA,111,2,597566.000000702,6648008.99993007,59.95788682923667,10.747109377816878
80142943,TB,121,2,597545.000000702,6648022.99993007,59.95801745741636,10.746740150304523
80143052,TB,122,2,597790.000000704,6648290.99993007,59.96036466851113,10.751251933281871
80143028,FA,111,2,597896.000000705,6648143.99993007,59.95902013276703,10.753079465087982
80143036,TB,122,2,597616.000000702,6648175.99993007,59.95937382512971,10.74808320278948
80143001,FA,111,2,597599.000000702,6647935.99993007,59.957223822075825,10.747665478196472
80142994,TB,122,3,597596.000000702,6647958.99993007,59.95743096151579,10.747622659549917
80143117,TB,111,2,597777.000000704,6648405.99993007,59.96139989541482,10.751073726635193
80143087,TB,111,2,597740.000000703,6648322.99993007,59.96066374707772,10.750372158103263
80143060,TB,122,2,597766.000000704,6648307.99993007,59.96052294614914,10.75083041992635
80141106,TB,111,1,597066.000000698,6647739.99993007,59.955590692453335,10.738034261535956
80141114,FA,122,2,597585.000000702,6648245.99993007,59.96000943445193,10.747561454105945
80141084,TB,122,2,597187.000000699,6648337.99993007,59.96092930431352,10.74048119115494
80141076,FA,181,1,597204.000000699,6648332.99993007,59.96088041453441,10.740783118555727
80141041,FA,111,2,597239.000000699,6648311.99993007,59.960683669856266,10.741399687642058
80141068,TB,111,2,597211.000000699,6648325.99993007,59.960815935352066,10.740905114310369
80141157,FA,112,2,597651.000000703,6648261.99993007,59.96013738594876,10.748750315294215
