building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80380674,TB,111,1,600999.000000728,6638040.99993002,59.867596964477265,10.803688120651907
80380704,TB,111,3,600862.000000727,6639475.99993003,59.88050954676424,10.80193984365735
80380712,TB,121,1,601058.000000728,6638246.99993002,59.869431385703635,10.804841363145064
80380658,TB,121,2,601114.000000729,6638135.99993002,59.86842146159742,10.805786890582215
80380666,TB,112,2,600516.000000724,6639782.99993003,59.883349234680864,10.79591062977246
80291310,TB,142,4,600019.00000072,6641281.99993004,59.89692350436792,10.787758561530595
80291329,TB,142,4,600021.00000072,6641328.99993004,59.89734484610161,10.787816962089051
80291612,TB,122,2,599763.000000718,6641488.99993004,59.89884330223777,10.783284959066224
80291337,TB,142,4,599908.00000072,6641388.99993004,59.89791071951866,10.785827209365623
80291620,TB,121,2,599721.000000718,6641457.99993004,59.89857522682966,10.782519712758171
80291639,TB,121,2,599705.000000718,6641482.99993004,59.89880346920542,10.782245896022292
80291345,TB,142,4,599965.00000072,6641321.99993004,59.897295589127204,10.78681318749511
80291388,TB,121,2,599937.00000072,6641201.99993004,59.89622536577622,10.786255151197382
80291647,TB,121,2,599805.000000719,6641298.99993004,59.89712788756339,10.783943831658272
80291582,TB,122,2,599815.800000719,6641527.79993004,59.89917876634452,10.784246917899956
80291221,FA,121,2,599547.000000717,6641603.99993004,59.89992759613797,10.779481307181321
80291256,TB,612,2,599916.00000072,6641426.99993004,59.898249834172915,10.785988439020755
80291590,TB,122,2,599815.500000719,6641500.09993004,59.898930230150604,10.784228221679358
80291264,TB,111,2,599910.000000719,6641184.99993004,59.89607932706956,10.785764640552433
80291272,TB,111,1,599904.00000072,6641179.99993004,59.89603590427612,10.785655049912263
80291280,TB,142,3,599587.000000717,6641585.99993004,59.899756393652076,10.780187289472071
80291604,TB,122,2,599788.000000719,6641495.99993004,59.89890008312356,10.783734956274035
80291701,TB,121,2,599880.700000719,6641205.09993004,59.89626681728399,10.78525091843352
80291442,TB,121,2,599784.000000719,6641384.99993004,59.89790481987757,10.783610072167287
80291450,TB,121,2,599799.000000719,6641366.99993004,59.89773964188225,10.783869377110188
80291469,TB,122,3,599820.000000719,6641339.99993004,59.89749223675915,10.784231533128409
80291728,TB,142,4,599831.000000719,6641396.99993004,59.89800115364425,10.784455486703106
80291477,TB,122,2,599832.000000719,6641321.99993004,59.89732778327162,10.784437238899478
80291736,TB,142,4,599854.000000719,6641369.99993004,59.8977532630163,10.784853370185164
80291655,TB,121,2,599818.000000719,6641280.99993004,59.89696319265836,10.78416740074156
80291396,TB,121,2,599913.500000719,6641223.39993004,59.896423121375264,10.78584566602788
80291418,TB,122,2,599867.000000719,6641277.99993004,59.89692441334068,10.785041296455045
80291663,TB,121,2,599833.000000719,6641261.99993004,59.89678903854233,10.784426214166777
80291426,TB,122,2,599878.000000719,6641262.99993004,59.89678712574834,10.785230575830207
80291671,TB,121,2,599851.000000719,6641238.99993004,59.8965782579334,10.784736690398704
80291434,TB,122,3,599890.100000719,6641248.49993004,59.89665405917351,10.785439744834887
80291698,TB,121,2,599865.000000719,6641221.99993004,59.896422294780145,10.784978597303347
80291809,FA,136,2,599527.000000717,6641614.99993004,59.9000311461115,10.779129273507346
80291515,TB,122,2,599750.000000718,6641427.99993004,59.898298966588634,10.783023363258549
80291817,FA,111,2,599941.00000072,6641146.99993004,59.89573077001037,10.78630009769782
80291825,TB,121,2,599553.000000717,6641599.99993004,59.899890248417364,10.779586580693474
