building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80314949,TB,122,2,601685.000000733,6642284.99993003,59.90551819361469,10.818011660220268
80316038,TB,111,2,602876.000000743,6642792.99993002,59.90978210866913,10.839544895133859
80314957,TB,111,2,601682.000000733,6642240.99993003,59.90512403870497,10.817936465005646
80314965,TB,181,1,601693.000000734,6642240.99993003,59.905121327508255,10.818133014676896
80291841,TB,111,2,600892.000000727,6642247.99993004,59.90538081051374,10.803823935475435
80291906,TB,136,2,600893.000000727,6642276.99993003,59.905640839233044,10.803855923547166
80291914,TB,181,1,600904.000000727,6642278.99993003,59.905656098891676,10.80405345168406
80291868,FA,181,1,600891.000000727,6642235.99993003,59.90527335577064,10.80380022462549
80291876,TB,111,2,600951.000000728,6642258.99993003,59.905465102307765,10.804883531125299
80291892,TB,122,2,600864.000000727,6642233.99993003,59.90526200768026,10.803316804962874
80291965,FA,111,2,600930.000000727,6642246.99993003,59.90536254103766,10.804502448565426
80291973,FA,112,1,600976.000000728,6642275.99993003,59.90561155813708,10.805338526523643
80298439,TB,136,2,602650.000000741,6642772.99993002,59.909658915504416,10.835496257294768
80298676,TB,181,1,602766.000000742,6642882.99993002,59.91061725683835,10.837623792390236
80298668,TB,111,2,602771.000000742,6642900.99993002,59.91077755686356,10.837722077201283
80308485,TB,111,2,601241.00000073,6642220.99993003,59.905052993552715,10.810046808205273
80309406,TB,111,3,602047.000000736,6642187.99993003,59.90455825339394,10.824432221797231
80312016,TB,122,2,602480.00000074,6642372.99993002,59.90611126697481,10.832260432348939
80309414,TB,181,1,602042.000000736,6642196.99993002,59.90464026361193,10.8243473144357
80308507,TB,111,2,602453.000000739,6642769.99993002,59.90968096761254,10.831974295745747
80309422,TB,122,2,602073.000000736,6642230.99993002,59.90493773976764,10.824917963806477
80312040,TB,136,3,601025.000000728,6642013.99993003,59.90324813057316,10.806086363837808
80308523,TB,122,3,602375.000000739,6642780.99993003,59.90979905614687,10.830585834732958
80312784,TB,122,2,601429.000000731,6642240.99993003,59.905186315377875,10.813415812245044
80309430,TB,181,1,602061.000000736,6642243.99993003,59.90505738133792,10.824709950498637
80310781,FA,111,2,601243.00000073,6642017.99993003,59.903230595719506,10.809983373829304
80308531,TB,111,2,601337.000000731,6641978.99993003,59.90285749832304,10.811643821980466
80309457,TB,111,2,602517.00000074,6642686.99993002,59.90892015925702,10.833076932040097
80310803,TB,181,1,601231.00000073,6642032.99993003,59.903368163775056,10.809776293813112
80307624,TB,111,3,601313.000000731,6642151.99993003,59.90441605081553,10.811299584358483
80307632,TB,111,2,601313.20000073,6642135.79993003,59.90427060824256,10.811295238207496
80307640,TB,122,2,601402.000000731,6641943.99993003,59.90252740766469,10.81278805272096
80307527,TB,111,2,601927.000000735,6642547.99993003,59.90781886159656,10.82246516828496
