building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80156502,TB,659,1,597882.000000704,6646302.99993006,59.942500249994076,10.751956517877243
80156596,TB,143,5,597876.000000704,6646139.99993006,59.94103872716337,10.751771998692496
80156561,TB,143,4,597816.000000704,6646108.99993006,59.94077474775715,10.75068404164182
80156588,TB,143,5,597853.000000704,6646112.99993006,59.94080186182138,10.75134779036348
80156553,TB,143,5,597817.000000704,6646006.99993006,59.9398590449153,10.75065366336599
80156634,TB,311,2,597798.000000704,6646359.99993006,59.943031783769484,10.750480820949825
80194005,TB,143,10,599309.000000715,6646591.99993006,59.94475249821141,10.777622543345828
80194285,GR,142,4,599274.700000715,6646553.39993006,59.944414330488556,10.776990377560615
80195214,TB,181,2,598932.000000712,6646581.99993006,59.94475346655365,10.770873254755836
80195184,TB,249,2,598947.700000713,6646567.59993006,59.94462045483021,10.771147231723587
80192266,TB,143,7,599153.000000714,6646509.99993005,59.944054126450546,10.774792376970874
80194781,TB,143,6,599189.000000714,6646548.99993005,59.94439548551709,10.775455118101283
80196504,TB,329,3,598932.000000712,6646922.99993006,59.94781395697805,10.771036523009027
80194803,FA,143,5,599158.000000714,6646414.99993006,59.94320029505041,10.774836243892823
80194811,FA,143,5,599194.000000714,6646428.99993006,59.94331727833564,10.775486969171338
80196989,TB,321,4,599144.000000714,6646873.99993006,59.9473232028149,10.774806017889675
80197179,GR,239,,599007.000000713,6646746.99993006,59.946216328177655,10.772294054980696
80197225,TB,311,6,598885.000000712,6646871.99993006,59.947367516526086,10.770171209363859
80197268,TB,311,1,598860.000000712,6646860.99993006,59.94727479238448,10.769718662315427
80198655,TB,142,4,599311.000000715,6646153.99993005,59.94082095814323,10.777447860458569
80198647,TB,142,4,599299.000000715,6646217.99993005,59.94139825205174,10.777263952621967
80199031,TB,612,2,599376.000000716,6645980.99993005,59.93925260637388,10.778527397398449
80199090,TB,611,2,599362.000000716,6646053.99993006,59.939911159308075,10.778312068043231
80199074,FA,142,5,599269.000000715,6646142.99993005,59.94073235514428,10.776691292059608
80199066,FA,142,5,599267.000000715,6646190.99993006,59.94116363824038,10.776678567838461
80199058,TB,151,3,599289.000000715,6646081.99993005,59.94018005911913,10.7770197464955
80199120,TB,612,1,599339.000000715,6645689.99993005,59.936649797296745,10.777725762239621
80538065,FA,143,7,598008.300000705,6645026.59993006,59.93101435178037,10.753610863895783
80538103,TB,143,5,597941.000000705,6645007.99993006,59.930863412504586,10.752398550635771
80538081,TB,143,6,597954.000000705,6645033.99993006,59.931093677025586,10.752643337115797
80538073,FA,143,7,597993.000000705,6645028.99993006,59.931039530237584,10.753338395521816
80540353,TB,329,2,598189.000000707,6645175.99993006,59.93231222620352,10.756913184394781
80540337,TB,329,2,598168.000000707,6645182.99993006,59.93238005492483,10.756540956027605
80540426,TB,311,4,598175.000000706,6645246.99993006,59.932952795942526,10.75669651905875
80540418,TB,329,3,598160.000000706,6645217.99993006,59.93269609017053,10.756414499690822
80540396,TB,329,1,598202.000000707,6645215.99993006,59.93266813393605,10.757164660121079
80540280,FA,142,4,598120.000000706,6645164.99993006,59.93222993338911,10.755674012980338
80540272,TB,329,1,598174.000000706,6645133.99993006,59.93193884411273,10.756624998467323
80540329,TB,319,1,598187.000000707,6645159.99993006,59.93216910058623,10.756869822161448
80539185,TB,143,4,597990.000000705,6645302.99993006,59.93349943443683,10.753414559605632
80539177,TB,143,5,597942.000000705,6645307.99993006,59.93355572092648,10.752558493236425
80539193,TB,143,6,598092.000000706,6645292.99993006,59.9333854166999,10.755233987121189
80539576,TB,143,5,597896.400000704,6644723.49993006,59.92832057523937,10.751466352239557
80539606,TB,142,4,597864.000000704,6644739.99993006,59.92847635938855,10.750894803881476
80539592,TB,142,5,597891.000000704,6644742.99993006,59.928496873432856,10.751379019995909
80539738,TB,143,5,597951.000000705,6644739.99993006,59.928455693954476,10.752450481120032
80539630,TB,722,9,597849.000000704,6644866.99993006,59.92961976670394,10.750686651722058
80539622,TB,142,5,597885.000000704,6644823.99993006,59.929225286625915,10.751310056641929
80539614,TB,181,1,597854.000000704,6644739.99993006,59.928478733550406,10.75071599026101
80539665,TB,143,5,597967.000000705,6644885.99993006,59.9297622642565,10.75280572085216
80539657,FA,142,5,597883.000000704,6644840.99993006,59.929378339370196,10.751282336694455
80539789,TB,142,5,597976.000000705,6644776.99993006,59.928781833007285,10.752915036775148
80539843,TB,142,4,597949.000000705,6644778.99993006,59.92880620041901,10.752433182921093
80539827,TB,111,1,597926.000000704,6644766.99993006,59.92870396351732,10.75201622771268
80539819,TB,181,1,597933.000000705,6644779.99993006,59.928818977470705,10.75214755188599
80539800,TB,142,4,597941.000000705,6644766.99993006,59.9287003995317,10.752284449763904
80539754,TB,142,5,597965.000000705,6644760.99993006,59.92864084507664,10.752710763746974
80539746,TB,142,5,597922.000000704,6644742.99993006,59.928489509954574,10.751933342228558
80539762,TB,122,2,597972.000000705,6644750.99993006,59.92854942972487,10.75283119818273
80539940,TB,143,6,598036.000000705,6644893.99993006,59.92981765904529,10.754043371759261
80539932,TB,181,1,597990.000000705,6644863.99993006,59.92955934335813,10.753206586594537
80539924,TB,122,3,597998.000000705,6644856.99993006,59.9294946152549,10.753346325952853
80539991,TB,142,5,598011.000000705,6644927.99993006,59.930128759887744,10.753612429301189
80539983,TB,142,5,598006.000000705,6644906.99993006,59.9299414706775,10.75351306900403
80539894,TB,142,5,597974.000000705,6644815.99993006,59.929132339495006,10.752897743369543
80539886,TB,181,1,597947.000000705,6644809.99993006,59.929084905600014,10.752412096785777
80539878,TB,142,4,597962.000000705,6644798.99993006,59.92898261406914,10.752675113089547
80539851,TB,181,1,597937.000000705,6644792.99993006,59.92893470412745,10.752225232191158
80539916,TB,111,2,597974.000000705,6644834.99993006,59.929302867452336,10.752906741547472
80539908,TB,142,4,597989.000000705,6644839.99993006,59.92934417740562,10.753177336626553
80540175,FA,122,2,598089.000000706,6645143.99993006,59.93204883490038,10.755109670380586
80540582,FA,142,4,598066.000000706,6644903.99993006,59.929900273672686,10.75458457373421
80540167,TB,111,1,598073.000000706,6645088.99993006,59.93155900985848,10.754797460039748
80540604,TB,311,3,598099.300000706,6644841.69993006,59.92933319771117,10.755150504116092
80540213,TB,136,2,598102.000000706,6645150.99993006,59.93210856656983,10.755345472627925
80540590,FA,111,2,598075.000000706,6644913.99993006,59.92998788364568,10.75475025355212
80540027,TB,111,2,598040.000000705,6644963.99993006,59.93044496798765,10.754148075606036
80540515,TB,329,3,598191.000000707,6645272.99993006,59.933182337425315,10.756995002350134
80540507,TB,143,6,598128.000000706,6645228.99993006,59.93280243740307,10.755847443974345
80540159,TB,181,2,598033.000000705,6645065.99993006,59.93136209812622,10.754071239701403
80540140,TB,111,2,598053.000000705,6645056.99993006,59.9312765640176,10.7544246309439
80540132,TB,329,2,598106.000000706,6645110.99993006,59.931748608793065,10.755398033050787
80540086,TB,111,1,598034.000000705,6645021.99993006,59.93096695377651,10.754068269085838
80544197,TB,142,4,597976.000000705,6646011.99993006,59.93986613978031,10.753500140291063
80544235,TB,143,5,597963.000000705,6645816.99993006,59.938119078645336,10.753175200355921
80544227,TB,142,3,598068.000000706,6645954.99993006,59.939332668691485,10.75511874583625
80544219,TB,142,4,598042.000000705,6645972.99993006,59.939500408962495,10.754662216095078
80544200,TB,142,3,598007.000000705,6646000.99993006,59.939760040061955,10.754049436511316
80544421,TB,181,1,598121.000000706,6645378.99993006,59.93415037452875,10.75579342459954
80544413,TB,111,3,598130.000000706,6645376.99993006,59.934130281209754,10.755953434881732
80544472,TB,111,2,598127.000000706,6645391.99993006,59.93426562259745,10.755906899223158
80544456,TB,136,3,598138.300000706,6645418.99993006,59.93450526026492,10.756121806222115
80544359,FA,143,6,597970.000000705,6645881.99993006,59.93870079843346,10.75333120793326
80544332,TB,143,5,598012.000000705,6645880.99993006,59.938681834281375,10.75408198090025
80544278,FA,143,6,597985.000000705,6645843.99993006,59.93835617611473,10.753581500354516
80544405,TB,111,2,598135.000000706,6645360.99993006,59.93398548839883,10.75603526420799
80544391,TB,136,2,598143.000000706,6645399.99993006,59.93433361340669,10.756196846635786
80544375,TB,111,2,598146.000000706,6645385.99993006,59.934207247055625,10.75624385578735
80544367,TB,111,2,598160.000000706,6645344.99993006,59.933835932073315,10.756474776724483
80547234,TB,142,5,598340.000000708,6646101.99993006,59.94058717645824,10.760053973520746
80544693,TB,121,3,598120.200000706,6645586.79993006,59.93601559776702,10.755877716233668
80547072,TB,142,4,598360.000000708,6646176.99993006,59.94125553475672,10.760447417694799
80544707,TB,142,4,598129.000000706,6645570.99993006,59.93587169512625,10.756027609409452
80544553,TB,181,1,598064.000000706,6645442.99993006,59.93473835154524,10.754804363821775
80547005,TB,142,4,598256.000000707,6646184.99993006,59.94135215291534,10.758590851468318
80544545,TB,311,2,598050.000000705,6645402.99993006,59.93438267731367,10.754535012735214
80544499,TB,111,2,598119.000000706,6645416.99993006,59.93449190586188,10.755775685317447
80547056,TB,142,4,598345.000000708,6646177.99993006,59.94126809089252,10.760179571217352
80542879,TB,142,5,598090.800000706,6645731.89993006,59.93732488936792,10.75542072184822
80544596,TB,143,5,598092.000000706,6645494.99993006,59.93519839442895,10.755329801332534
80547048,TB,142,5,598281.000000707,6646182.99993006,59.94132823938485,10.759037105879754
80544758,TB,211,1,598282.000000707,6645609.99993006,59.93618526068874,10.758782592406252
80544731,TB,211,3,598328.000000708,6645646.99993006,59.936506365597815,10.75962291694463
80544782,TB,211,1,598308.000000707,6645615.99993006,59.93623290914987,10.75925046621257
80544774,TB,211,1,598300.000000707,6645622.99993006,59.93629764352087,10.759110710355158
80544715,TB,121,2,598099.000000706,6645590.99993006,59.93605834096358,10.755500538869633
80544723,TB,111,1,598123.000000706,6645598.99993006,59.93612442762385,10.755933584621594
80544863,TB,181,1,598109.000000706,6645731.99993006,59.93732145373643,10.75574629590693
80544855,TB,181,2,598119.000000706,6645730.99993006,59.937310097415796,10.755924682083798
80544790,TB,111,2,598107.000000706,6645614.99993006,59.93627183951157,10.755655009145135
80544812,TB,181,1,598133.000000706,6645685.99993006,59.936902882529886,10.756153729102785
80545053,TB,143,3,597916.000000705,6645954.99993006,59.93936882072993,10.75239989344178
80545045,TB,142,5,598194.000000707,6645891.99993006,59.93873722547997,10.757342602467553
