building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80466447,TB,311,7,597395.0000007,6643073.99993006,59.91363473298713,10.741724523628505
80466463,TB,322,7,597406.0000007,6643117.99993006,59.91402704527233,10.741941826441433
80466455,TB,322,5,597413.0000007,6643086.99993006,59.91374715986476,10.742052360690115
80466471,TB,511,4,597348.0000007,6643165.99993006,59.914471550881075,10.740927716088915
80466420,TB,311,8,597379.0000007,6643037.99993006,59.91331540272682,10.741421621216213
80466439,TB,239,7,597385.0000007,6643062.99993006,59.913538366823495,10.741540616481489
80466234,TB,311,8,597237.000000699,6642760.99993006,59.910862762460695,10.738753569213314
80466242,TB,311,6,597246.000000699,6642774.99993006,59.91098629415848,10.73892098976168
80466137,TB,311,4,597129.000000698,6642522.99993006,59.90875209666567,10.736711801208264
80466110,TB,319,4,597208.000000699,6642429.99993006,59.9078987891043,10.738079965259223
80466366,TB,322,6,597363.0000007,6642956.99993006,59.912592186175594,10.741097570505243
80466382,TB,311,5,597400.0000007,6643023.99993006,59.91318479068604,10.74179037638551
80466250,TB,311,10,597313.0000007,6642850.99993006,59.911652610862845,10.74015412267994
80466269,TB,311,6,597252.000000699,6642789.99993006,59.9111195082328,10.73903526465702
80466315,TB,329,6,597350.0000007,6642923.99993006,59.91229907199287,10.740849712030172
80467109,FA,412,6,597961.000000705,6642763.99993005,59.91071837677029,10.751694241198026
80467052,TB,311,2,597421.0000007,6642307.99993005,59.906753563158006,10.741828994241729
80467060,TB,199,5,597456.000000701,6642442.99993006,59.90795695327063,10.742517934705745
80467095,TB,311,9,597502.000000701,6642422.09993006,59.90775850114254,10.743330137572377
80467192,TB,311,5,597818.000000703,6642808.99993006,59.911156197688996,10.749159820500106
80467184,TB,311,7,597838.000000703,6642840.99993006,59.91143866044541,10.749532376444447
80467214,TB,511,5,597822.000000703,6642854.99993005,59.91156810815332,10.749253032743015
80467206,TB,239,6,597796.000000703,6642847.99993006,59.91151144724879,10.748785048282954
80467230,TB,311,5,597799.000000703,6642819.99993005,59.91125943034238,10.748825444840703
80467117,TB,511,7,597841.000000704,6642760.99993005,59.910719933104474,10.74954820563257
80467125,TB,311,7,597852.000000704,6642878.99993005,59.91177639675945,10.74980053909114
80467141,TB,311,7,597844.000000704,6642859.99993006,59.91160776589649,10.749648584779495
80467133,TB,311,5,597832.000000703,6642877.99993006,59.91177216588933,10.749442618904418
80467281,TB,531,5,597664.000000702,6642875.99993006,59.91179402954583,10.746439109930556
80467303,TB,322,1,597676.000000702,6642903.99993006,59.912042493811136,10.746666783172131
80467338,TB,511,5,597649.000000702,6642850.99993006,59.91157320074923,10.74615923751212
80467311,TB,511,5,597643.000000702,6642877.99993006,59.91181695192025,10.74606473162202
80467257,TB,311,5,597784.000000703,6642817.99993006,59.91124503627477,10.74855641883471
80467389,TB,531,6,597498.000000701,6642967.99993006,59.91265902307945,10.743515588966613
80467400,TB,322,4,597487.000000701,6642977.99993006,59.91275137547208,10.743323693661527
80467397,TB,322,5,597437.000000701,6642963.99993006,59.91263753749427,10.742423458244673
80467419,TB,322,6,597373.0000007,6642979.99993006,59.912796255804736,10.741287112764397
80467435,TB,311,6,597306.800000699,6643001.69993006,59.91300664227917,10.740114113435926
80467427,TB,239,6,597466.000000701,6642990.99993006,59.912873016536224,10.74295447877713
80467354,TB,311,8,597563.000000702,6642945.99993006,59.91244619777192,10.744666965333433
80467346,TB,511,3,597665.000000702,6642849.99993006,59.911560437284564,10.74644472301546
80467362,FA,329,7,597584.000000702,6642893.99993006,59.91197451850052,10.745017794773672
80467370,TB,322,6,597545.000000701,6642919.99993006,59.91221709949888,10.744333010050804
80467524,TB,511,8,597275.000000699,6643122.99993006,59.91410284035326,10.739602721062695
80467583,TB,311,4,597439.0000007,6642564.99993006,59.909055947747525,10.742271516503145
80467451,TB,329,7,597450.0000007,6642992.99993006,59.91289474772311,10.74266945105377
80467478,TB,311,7,597365.0000007,6643056.99993006,59.91348923744213,10.74118032735012
80467516,TB,511,5,597259.000000699,6643101.99993006,59.91391813379368,10.739306878980818
80467508,TB,511,5,597279.000000699,6643097.99993006,59.91387751588489,10.739662472851336
80470436,TB,531,6,597404.0000007,6642911.99993006,59.91217862013647,10.741809197174012
80467699,TB,311,6,597432.8000007,6642482.09993005,59.90831336522304,10.742121728957173
80470444,TB,322,5,597378.0000007,6642925.99993006,59.91231041271217,10.741351089386221
80467710,TB,329,6,597450.000000701,6642599.99993005,59.90936748240367,10.74248456127288
80467788,TB,641,3,597502.000000701,6642627.99993006,59.90960650086685,10.743427039773032
80470460,TB,329,5,597442.000000701,6642999.99993006,59.912959464451546,10.742529759918696
80467753,TB,311,7,597468.000000701,6642628.99993006,59.90962351133038,10.742819886415047
80470452,TB,143,5,597423.0000007,6642943.99993006,59.91246134005768,10.742163829809177
80467656,TB,311,4,597425.0000007,6642452.99993006,59.90805402805501,10.741968654283024
80467869,TB,311,5,597517.000000701,6642748.99993006,59.91068895733128,10.743752069552299
80467877,TB,143,5,597521.400000701,6642781.39993006,59.91097871433252,10.743845959417042
80470525,TB,321,8,597398.0000007,6642966.99993006,59.912673674811195,10.74172782478363
80470541,TB,311,5,597432.0000007,6643032.99993006,59.91325800943746,10.742366553338162
80467893,TB,311,7,597563.000000701,6642765.99993005,59.910830658287644,10.74458218178969
80470533,TB,311,4,597412.6000007,6643008.79993006,59.91304539140842,10.742008429771774
80467915,TB,322,7,597554.000000701,6642859.99993006,59.91167645771884,10.744465604966233
80470576,TB,311,7,597446.000000701,6643052.99993006,59.91343420642196,10.742626189137274
80467907,TB,329,7,597527.000000701,6642839.99993006,59.91150333835,10.743973633512981
80467834,TB,311,7,597552.600000701,6642632.49993005,59.90963492587232,10.744333445461796
80467826,TB,146,6,597511.000000701,6642644.99993006,59.90975695228334,10.74359588329043
80470479,TB,322,3,597387.1000007,6642940.59993006,59.912439302537685,10.74152059631344
80470487,TB,531,5,597453.000000701,6643011.99993006,59.9130645681872,10.742732010357496
80467850,TB,311,10,597485.000000701,6642700.99993006,59.910265710533366,10.74315758073752
80470495,TB,239,8,597383.0000007,6642957.99993005,59.91259643966759,10.741455498857187
80467842,TB,311,6,597536.000000701,6642691.99993006,59.91017287720287,10.74406479649026
80470509,TB,311,6,597460.000000701,6643031.29993006,59.9132361359854,10.742866204447411
80467982,TB,311,6,597602.000000702,6642850.99993006,59.91158432515956,10.7453192383465
80467990,FA,511,6,597611.000000702,6642868.99993006,59.91174374924141,10.745488571840982
80470622,FA,311,5,597179.000000698,6642975.99993006,59.912806110494294,10.737817864617673
80470649,TB,671,1,597686.000000702,6642958.99993005,59.912533761954855,10.746871448708088
80467923,TB,621,7,597602.000000702,6642797.99993006,59.91110863868508,10.7452942648377
80470584,TB,311,6,597454.000000701,6643068.99993006,59.913575919778516,10.742776704807353
80467958,TB,621,4,597590.000000702,6642822.99993006,59.91133585849176,10.745091578332678
80470606,TB,311,7,597215.000000699,6642983.99993006,59.91286942862461,10.738465049530488
80468563,TB,311,5,597355.0000007,6643215.99993006,59.91491866011922,10.741076339373135
80468407,TB,311,8,597367.0000007,6643101.99993006,59.91389265075849,10.741237230496333
80468415,TB,311,7,597343.0000007,6643093.99993006,59.91382651422057,10.740804503542309
80468431,TB,412,3,598025.000000705,6642765.99993005,59.91072112251352,10.752838982451658
80468636,TB,311,4,597814.000000703,6642661.99993005,59.90983779191466,10.749018919810345
80468628,TB,311,4,597789.000000703,6642674.99993005,59.90996039704492,10.748578272511018
80468652,TB,143,5,597720.000000703,6642743.99993005,59.91059603851026,10.747377692973416
80468644,TB,311,5,597693.600000702,6642752.89993006,59.91068217144031,10.74691007529803
80468687,TB,311,5,597664.000000702,6642768.99993006,59.910833681941405,10.746388659807973
80468679,TB,143,5,597745.000000703,6642699.99993006,59.91019520596374,10.747803725649357
80468571,TB,311,5,597351.0000007,6643239.99993006,59.91513500992815,10.741016125320186
80468598,TB,311,4,597779.000000703,6642719.99993005,59.910366651777416,10.748420798843116
80468601,TB,311,8,597759.000000703,6642672.99993005,59.90994955766135,10.74804118577963
80468776,TB,311,5,597486.000000701,6642810.99993006,59.91125274920443,10.74322722046078
80468806,TB,322,5,597418.0000007,6642878.99993005,59.91187913105645,10.742043893722764
80468695,TB,511,7,597679.000000702,6642722.99993005,59.91041727032085,10.74663504739884
80468733,TB,143,5,597535.000000701,6642792.99993006,59.91107961122313,10.744094480862953
80468954,TB,239,5,597325.0000007,6643239.79993006,59.915139351564775,10.740551299966555
80468822,TB,311,5,597361.0000007,6642898.99993006,59.91207209463983,10.741034560765073
80468814,TB,311,7,597393.0000007,6642854.99993006,59.91166962942812,10.741585795761637
80468830,TB,311,6,597293.000000699,6642903.99993006,59.91213301685728,10.739821569729285
80468857,TB,311,8,597465.000000701,6642460.99993006,59.908116381176626,10.742687236052467
80469039,TB,311,9,597105.000000698,6642839.99993006,59.911602904643274,10.736431496970539
80468970,TB,661,7,597299.000000699,6643150.99993006,59.914348485580135,10.740044845938126
80469020,TB,311,7,597120.000000698,6642866.99993006,59.91184170488761,10.736712243163913
80469055,TB,311,6,597347.0000007,6643256.99993006,59.91528853308362,10.740952619817433
80467001,TB,239,6,597379.0000007,6643121.99993006,59.91406932219137,10.741461117961368
80467036,TB,319,4,597418.7000007,6642345.29993006,59.90708888271901,10.741805431017637
80470134,TB,311,8,597338.0000007,6642726.99993006,59.91053378209778,10.740542663451517
80470169,TB,329,6,597363.0000007,6642760.99993006,59.910833039862226,10.741005439388864
80470061,TB,143,5,597778.000000703,6642805.99993006,59.91113875623451,10.748443521617627
80470029,TB,322,6,597773.000000703,6642789.99993006,59.91099633824228,10.748346609080176
80470088,TB,511,4,597814.000000703,6642837.99993005,59.91141742703401,10.749102026615251
80470126,TB,531,3,597312.0000007,6642655.99993006,59.90990267457483,10.740044643227353
80466560,TB,311,3,597519.000000701,6642443.99993006,59.90795104029421,10.74364424044244
80470223,TB,321,5,597490.000000701,6642941.99993006,59.912427558300756,10.74336036743296
80466587,TB,311,8,597566.000000701,6642475.99993006,59.908227134152376,10.744499217920506
80470258,FA,311,5,597503.000000701,6642986.99993006,59.91282837032654,10.743613898150315
80470231,TB,311,6,597426.0000007,6642903.99993006,59.91210162222554,10.74219863311634
80466609,TB,143,7,597615.000000702,6642583.99993005,59.90918486580383,10.745425760427903
80470274,TB,322,6,597443.000000701,6642937.99993006,59.91240276406242,10.742518463570361
80466595,TB,311,7,597573.000000702,6642492.99993005,59.90837805730422,10.74463231792496
80470266,TB,322,6,597433.0000007,6642915.99993006,59.912207671445096,10.742329386480742
80466625,TB,311,6,597599.900000702,6642616.79993006,59.909482826027826,10.745171360490605
80470290,TB,311,6,597473.000000701,6643005.99993006,59.91300599064454,10.743086649506804
80466617,TB,311,2,597587.000000702,6642593.99993006,59.90928124302731,10.744930081775287
80470282,TB,322,3,597454.100000701,6642959.79993006,59.91259580143712,10.7427271089783
80470177,TB,311,6,597383.0000007,6642828.99993005,59.91143863446941,10.741394847787518
80466498,TB,511,7,597348.0000007,6643129.99993006,59.914148442480084,10.74091079356591
80466501,TB,531,5,597434.000000701,6642552.99993006,59.9089494259698,10.742176517781209
80466528,TB,311,6,597406.0000007,6642564.99993006,59.90906374147883,10.74168177334652
80470193,TB,311,5,597398.0000007,6642832.99993006,59.91147099362571,10.741664812951976
80466544,TB,641,4,597378.0000007,6642502.99993006,59.908513887409306,10.741152242934632
80466536,TB,641,5,597329.0000007,6642531.99993006,59.90878573355449,10.740290201297052
