building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80416237,TB,181,1,605370.000000761,6632744.99992997,59.81897574253854,10.879018366249255
80416210,TB,181,,604699.000000756,6632856.99992998,59.82015115209898,10.867116381611975
80416253,TB,111,1,605332.000000761,6632719.99992997,59.818761045389,10.878328522178755
80416245,TB,181,1,605356.000000761,6632720.99992998,59.81876391319427,10.878756738499996
80416296,TB,161,1,605134.000000759,6632267.99992998,59.814754807177074,10.874572001897668
80416261,TB,181,1,605334.000000761,6632707.99992998,59.81865284032688,10.878358102063281
80415001,TB,122,2,603215.000000745,6636203.99993,59.85056263137767,10.842326897561515
80416334,TB,111,1,605190.00000076,6632171.99992997,59.813879013051626,10.875521455872219
80416091,TB,111,1,605076.000000759,6632702.99992998,59.81867352891696,10.873757692432443
80416113,TB,111,2,605324.000000761,6632411.99992997,59.815998877049424,10.878030371606666
80414919,TB,111,1,603032.000000743,6636215.99993,59.85071597106839,10.839068361539438
80416105,TB,181,1,605086.000000759,6632732.99992998,59.81894023194361,10.87395102655323
80414927,TB,181,1,603020.000000743,6636226.99993,59.850817684397676,10.838859743893632
80416148,TB,161,1,604877.000000757,6632769.99992998,59.81932529496619,10.870244952501643
80416199,TB,122,1,605156.000000759,6632391.99992997,59.81586208422142,10.875026551303195
80414935,TB,111,1,603106.000000744,6636176.99993,59.850347506050184,10.840369099670204
80416172,TB,161,1,605304.000000761,6632213.99992997,59.81422697493045,10.877573994090652
80416490,TB,111,1,603839.000000749,6633047.99992999,59.822081952008844,10.851884360491148
80415346,TB,181,,603515.000000747,6634319.99992999,59.83357909050231,10.84674153974201
80416628,TB,161,1,604458.000000754,6633072.99992998,59.82215058139252,10.862929474038184
80416598,TB,111,1,604521.000000755,6633097.99992998,59.822359047510155,10.864064875159071
80415419,TB,619,3,603381.000000746,6634462.99993,59.834895995030436,10.84442336509165
80416687,TB,111,1,604625.000000755,6633011.99992998,59.821560946318606,10.865875336246743
80416679,TB,161,1,604585.000000755,6632873.99992998,59.820332538863845,10.865093183006495
80416709,TB,161,1,604269.000000753,6632506.99992998,59.81711850674714,10.8592777862557
80416350,TB,161,,605053.000000759,6632208.99992997,59.81424585731481,10.87309892604074
80416393,TB,161,1,604458.000000754,6632138.99992998,59.813768150625826,10.86246154165326
80416369,TB,161,1,605717.000000764,6632620.99992997,59.817774422940275,10.88513949974781
80416466,TB,161,1,605148.000000759,6632089.99992997,59.81315375406072,10.874731729137862
80415036,TB,111,2,603152.000000744,6636296.99993,59.851413012262434,10.84124917860195
80416423,TB,121,1,605419.000000761,6632245.99992997,59.81448490314065,10.879639338760914
80415117,FA,111,1,603034.000000743,6636011.99993,59.848884605069074,10.839003003201563
