building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80156499,FA,142,4,597344.2000007,6645433.69993006,59.93482554726029,10.74192650635772
80156383,TB,142,3,597379.0000007,6645358.99993006,59.93414687778421,10.742513724165748
80156367,TB,142,4,597248.000000699,6645402.99993006,59.93457272221494,10.740191544136014
80156375,TB,611,4,597222.000000699,6645347.99993007,59.934085220538094,10.739700683948774
80156332,TB,619,1,597166.000000699,6645393.99993007,59.93451128843705,10.73872076543768
80156340,TB,612,2,597203.000000699,6645407.99993007,59.93462821544965,10.73938908057825
80156316,TB,619,3,597143.000000698,6645357.99993007,59.93419360315445,10.738292505999235
80156324,TB,612,2,597185.000000699,6645374.99993007,59.934336278870624,10.739051646156131
80156448,TB,142,3,597408.0000007,6645445.99993006,59.93492086591183,10.743073353810319
80156413,TB,142,3,597415.000000701,6645374.99993006,59.93428197234234,10.743165102523674
80156421,TB,142,4,597434.000000701,6645418.99993006,59.93467238892376,10.743525639798419
80156405,TB,142,3,597374.0000007,6645419.99993006,59.93469554639272,10.742453024203598
80156464,TB,142,4,597286.0000007,6645405.99993006,59.934590678398926,10.740872575495876
80156537,TB,671,1,597755.000000703,6645758.99993006,59.93764792103451,10.749427372343948
80156391,TB,141,3,597355.0000007,6645375.99993007,59.93430512682591,10.742092499228686
80474229,TB,142,4,597807.000000703,6643666.99993006,59.91885952183591,10.749368469210758
80474237,TB,141,3,597795.000000703,6643669.99993006,59.918889293609006,10.749155371902615
80474245,TB,142,5,597800.000000703,6643651.99993006,59.91872655435505,10.74923624977102
80471653,TB,181,3,597477.000000701,6643390.99993006,59.916460505637545,10.743339364113554
80471645,TB,311,4,597521.000000701,6643398.99993006,59.91652190447839,10.744129630308443
80471696,TB,142,4,597516.000000701,6643436.99993006,59.916864145039874,10.744058151811373
80471661,TB,142,4,597517.000000701,6643420.99993006,59.91672030512567,10.744068491500661
80471599,TB,671,,597579.000000702,6643426.99993006,59.91675949026356,10.745179574870594
80471637,TB,311,8,597588.000000702,6643496.99993006,59.91738562512075,10.745373443291987
80471874,TB,615,5,597592.000000702,6643654.99993006,59.91880276109943,10.745519422081196
80471882,TB,619,1,597603.000000702,6643672.99993006,59.9189617111834,10.745724546501599
80471904,TB,142,3,597593.000000702,6643690.99993006,59.91912563179827,10.745554268944302
80471890,TB,142,4,597608.000000702,6643684.99993006,59.91906823007074,10.745819585731233
80471742,TB,142,3,597474.000000701,6643529.99993006,59.91770877007274,10.743351176260632
80471815,TB,239,4,597571.000000702,6643553.99993006,59.91790123479246,10.745096422296644
80471785,TB,671,5,597543.000000701,6643546.99993006,59.917845032652096,10.744592603901454
80471823,TB,671,1,597517.000000701,6643611.99993006,59.91843457093322,10.744158451381209
80471831,TB,142,5,597525.000000701,6643646.99993006,59.91874681132042,10.744317946877437
80472013,FA,212,3,597554.000000701,6643720.99993006,59.91940411679799,10.744871226702108
80472005,TB,142,4,597574.000000702,6643702.99993006,59.91923783079882,10.745220273511993
80472048,TB,311,3,597585.000000702,6643711.99993006,59.91931600448791,10.745421156798812
80472021,TB,219,2,597636.700000702,6643773.99993006,59.919860228096006,10.746374612280873
