building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80243472,TB,111,2,607941.000000783,6646912.99992998,59.94546179805336,10.932203902884678
80243634,TB,111,2,607869.000000782,6647102.99992998,59.947185763987214,10.93101510396734
80245238,TB,111,2,608285.000000785,6647771.99992998,59.95308033911611,10.938807842305057
80245203,TB,111,2,608033.000000784,6648044.99992998,59.95559648752685,10.934441680101413
80243561,TB,181,1,607927.000000783,6647097.99992998,59.947125698959084,10.932050089978052
80245181,TB,181,1,608515.000000787,6646883.99992997,59.94505073088773,10.94245672501831
80243553,TB,111,2,607922.000000783,6647111.99992999,59.947252648293606,10.93196795462447
80243545,FA,122,3,607926.000000783,6647078.99992998,59.94695545065414,10.932022275937115
80243510,TB,111,2,607996.000000783,6646826.99992998,59.944675598292,10.933142835943096
80243731,TB,111,2,607949.000000783,6648264.99992998,59.95759284508015,10.93305358926709
80247028,TB,181,1,608110.000000784,6647494.99992998,59.95064046673366,10.9355316270732
80243685,TB,181,1,608051.000000784,6648186.99992998,59.95686610084177,10.934838080413673
80257880,TB,111,2,607818.000000782,6646422.99992998,59.941096631919876,10.929747969026034
80241666,TB,111,2,608465.600000787,6646932.09992998,59.94549539986864,10.94159828689008
80241577,TB,111,2,608487.000000787,6646995.99992997,59.94606321410833,10.942014650931878
80241739,TB,111,2,608593.000000788,6646767.69992997,59.94398647940311,10.943790903094106
80241690,TB,111,2,608550.000000788,6646797.99992997,59.94426973016024,10.94303764391413
80241852,TB,111,2,607972.000000783,6646929.99992998,59.94560623518964,10.932767334572421
80241526,TB,121,2,608353.000000786,6647685.99992998,59.952290672542624,10.939979429700989
80241828,TB,111,2,608504.000000787,6646630.99992997,59.94278316136468,10.942127122661109
80241755,TB,111,1,608607.000000788,6646745.99992997,59.94378804906278,10.94402992805597
80241747,TB,181,1,608590.000000788,6646756.99992997,59.94389124661917,10.943731617600017
80241984,TB,111,2,608464.000000787,6646757.99992998,59.94393341624736,10.941478287460084
80241933,TB,111,2,608210.000000785,6646992.99992998,59.94610915517955,10.937057840477896
80241917,TB,111,2,608078.000000784,6647004.99992998,59.9462515023198,10.934702768471942
80241887,TB,122,2,607963.000000783,6646956.99992998,59.94585089836,10.932620442459987
80242166,TB,111,2,608318.000000786,6647669.99992998,59.95215629340728,10.93934480877622
80242034,FA,111,2,608541.000000787,6646625.99992997,59.94272854345528,10.942786320722215
80242395,TB,111,1,608362.000000786,6647286.99992998,59.94870760608191,10.939931153930402
80242360,TB,181,1,608306.000000786,6647046.99992998,59.946568530322715,10.93880348547889
80242352,TB,111,1,608324.000000786,6647046.99992998,59.94656379687397,10.939125491228632
80242239,TB,111,2,608263.000000785,6647232.99992998,59.94824903522617,10.938131710179995
80242190,TB,111,1,608410.000000787,6647604.99992998,59.951548762543595,10.940956775444008
80242182,TB,122,2,608381.000000786,6647583.09992998,59.95135986135529,10.940426419988714
80242468,TB,111,2,608158.000000785,6646995.99992998,59.94614973542901,10.936129183240418
80242433,FA,122,2,608281.000000785,6647293.99992998,59.948791729057994,10.93848570319529
80242689,TB,122,2,608184.000000785,6646892.99992998,59.945218564198925,10.936540373051393
80242662,TB,181,,608283.000000785,6646839.99992998,59.94471691874337,10.938283562226763
80242654,TB,111,2,608280.000000785,6646823.99992998,59.94457412016935,10.938221514133476
80242646,TB,122,2,608323.000000786,6646973.99992998,59.94590894384936,10.939069333139743
80242573,TB,111,2,608535.000000787,6646765.99992997,59.9439865090092,10.942752519217871
80242549,TB,181,1,608514.000000787,6646607.99992997,59.94257412122563,10.942293918463484
80242530,TB,181,1,608524.000000787,6646593.99992997,59.94244584849357,10.942465437748547
80242751,TB,111,2,608034.000000784,6646982.99992998,59.94606561233794,10.933904146198257
80242743,TB,181,1,608208.000000785,6647034.99992998,59.94648659711145,10.937044056951326
80242735,TB,122,2,608206.000000785,6647027.99992998,59.94642430310519,10.937004612866502
80242697,TB,181,1,608194.000000785,6646903.99992998,59.94531465397002,10.936725017399555
80240147,TB,121,1,607244.000000778,6649785.99993,59.97142694533675,10.921227817426704
80240139,TB,121,1,607238.000000777,6649788.99993,59.97145543182508,10.921121960329158
80240120,TB,121,2,607228.000000777,6649804.99993,59.97160162590262,10.920951249865078
80240287,TB,122,2,607253.000000778,6648274.99992999,59.95786448924427,10.920603635784277
80240279,TB,122,2,607286.000000778,6648231.99992999,59.957469997465104,10.921171842659797
80240260,TB,111,2,607391.000000779,6648415.99992999,59.95909388645863,10.92314655416875
80240252,FA,122,2,607375.000000778,6648276.99992999,59.95785063756815,10.922787923340037
80240244,TB,122,2,607249.000000777,6648309.99992999,59.95817963084408,10.92055023509665
80240309,TB,111,3,607305.000000778,6648270.99992999,59.95781504240007,10.92153212193763
