building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80618239,FA,721,1,591990.000000659,6643703.99993008,59.92053041732714,10.645394102182685
80618034,FA,181,1,591362.000000654,6644809.99993009,59.93059718645593,10.63465494535471
80616244,TB,181,1,594128.000000675,6644984.99993008,59.93154546974766,10.684199469317218
80616260,TB,181,1,594186.000000676,6645022.99993008,59.931873286708736,10.685254023443145
80616279,FA,181,1,594190.000000676,6644985.99993008,59.931540280144766,10.685308709612823
80616228,FA,181,1,594202.000000676,6645047.99993008,59.932094016515855,10.68555155041952
80616236,TB,181,1,594114.000000675,6644986.99993008,59.931566617976316,10.68395000839044
80616147,TB,181,1,594441.000000678,6645285.99993008,59.93417547348165,10.68993447876401
80616163,FA,181,1,594395.000000677,6645146.99993008,59.93293842549237,10.68904832470585
80616201,FA,111,1,594199.000000676,6645033.99993008,59.931969045675935,10.685491522591656
80616384,TB,111,1,593431.00000067,6643935.99993008,59.92228872990804,10.671260817508573
80616333,TB,181,2,593654.000000671,6643731.99993008,59.92040712537168,10.675155475653986
80616368,TB,181,1,593562.000000671,6643931.99993008,59.92222311990701,10.673601126339898
80616325,FA,111,1,594360.000000677,6645327.99993008,59.93457099786349,10.688504956911967
80615922,TB,121,2,594111.000000675,6644279.99993008,59.92522163730378,10.683574748996
80616112,TB,181,1,594621.000000679,6644293.99993007,59.925230548070566,10.692700035315614
80616120,FA,111,2,594353.000000677,6645285.99993008,59.93419563169543,10.688360597685529
80616058,TB,181,1,594261.000000676,6644084.99993008,59.92343714798756,10.686167961939002
80616090,TB,142,4,594429.000000678,6643990.99993008,59.92255500824914,10.689128784896896
80616031,TB,181,1,594448.000000678,6644845.99993008,59.930224672054976,10.689858751053674
80615965,TB,181,1,594666.000000679,6643987.99993007,59.92247373101307,10.693364669356802
80615981,TB,111,1,594596.000000679,6644035.99993007,59.922920619815535,10.692135100199431
80731833,FA,131,3,592052.000000659,6643235.99993008,59.91631596838723,10.646294455203412
80731841,FA,131,3,592048.000000659,6643238.99993008,59.91634378826029,10.646224285681772
80731817,FA,131,2,592082.000000659,6643268.99993008,59.91660546765713,10.646845404235428
80731825,FA,131,2,592077.000000659,6643270.99993008,59.91662453544207,10.64675691392434
80728530,FA,181,1,591334.000000654,6643995.99993009,59.92329716463576,10.633794884441231
80731795,FA,131,2,592089.000000659,6643261.99993008,59.91654107486312,10.646967422550933
80731809,FA,131,2,592086.000000659,6643266.99993008,59.916586623120345,10.64691601851624
80618050,TB,181,1,592178.00000066,6644097.99993009,59.92402483601121,10.648930643855362
80618069,GR,181,,591642.000000656,6643712.99993008,59.92068869358517,10.639176503951056
80617992,TB,181,1,591219.000000653,6644766.99993009,59.93024290549276,10.632078629290781
80618018,TB,181,1,591345.000000654,6644790.99993009,59.93043041621616,10.63434253434289
80618026,FA,121,2,591365.000000654,6644804.99993009,59.930551642912874,10.634706387635749
80618204,TB,112,2,591410.000000654,6644082.99993009,59.92406120711222,10.635192164512778
80618220,TB,111,1,591697.000000656,6644356.99993009,59.926456807131146,10.64044514483598
80617984,TB,111,2,591352.000000654,6644697.99993009,59.92959412430895,10.634426649210917
80617941,TB,111,2,591455.000000655,6644721.99993009,59.9297866990588,10.636279210802718
80617976,FA,122,2,591468.000000655,6644051.99993009,59.923770095688106,10.63621550575969
80618174,TB,111,2,591392.000000654,6644009.99993009,59.923409971069034,10.634838086242501
80618077,TB,142,4,591557.000000655,6643703.99993009,59.92062679611574,10.637652874892016
80617232,TB,121,1,592418.000000662,6643288.99993008,59.916709816093366,10.652860630641358
80617240,FA,111,2,592124.00000066,6643600.99993008,59.9195760063422,10.647743922223434
80617224,TB,321,2,592764.000000664,6643282.99993008,59.91657827465519,10.65904300125167
80617127,TB,181,2,592542.000000663,6643049.99993008,59.91453683185857,10.654970434327211
80617135,TB,612,3,592517.000000663,6643110.99993008,59.915089954599225,10.654550817854933
80617356,FA,121,1,591737.000000657,6643436.99993008,59.91819027710077,10.640752625606464
80617321,FA,111,1,591814.000000657,6643097.99993008,59.91513038128999,10.641978820993678
80617348,FA,121,1,591750.000000657,6643449.99993008,59.91830406870766,10.640990785720955
80617305,FA,181,,591538.000000655,6643553.99993008,59.91928465911651,10.637246860194635
80617313,FA,111,1,591891.000000658,6643495.99993008,59.918685552414644,10.643531843745922
80617267,FA,181,1,591854.000000658,6643614.99993008,59.91976190223962,10.642923191387807
80617283,TB,619,2,591859.000000658,6642857.99993008,59.91296619515535,10.64267674972223
80617429,TB,111,1,591603.000000656,6643545.99993009,59.919198418315254,10.638405354969233
80617410,FA,111,1,591790.000000657,6643625.99993008,59.91987488719883,10.641783897332646
80617380,FA,181,1,591914.000000658,6643107.99993008,59.91519786265254,10.643770777140585
80617364,FA,111,1,591761.000000657,6643655.99993008,59.92015061268668,10.641278740888422
80617372,FA,121,1,591940.000000658,6643107.99993008,59.915192067044615,10.644235532496378
80617496,TB,111,1,591892.000000658,6643102.99993008,59.91515788693057,10.643375303684765
80617518,FA,111,1,591944.000000658,6643184.99993008,59.915882302551715,10.64434122264612
80617526,FA,181,1,591952.000000658,6643189.99993008,59.915925397220356,10.644486447554572
80617461,FA,111,1,591960.000000658,6643284.99993008,59.91677630260309,10.644671643707108
80617488,FA,111,1,591682.000000656,6643386.99993008,59.91775372469811,10.639747257261321
80617453,TB,111,2,591655.000000656,6643219.99993008,59.91626078502591,10.639190662899376
80617585,TB,181,1,591974.000000658,6643610.99993008,59.91969924950609,10.645066732758247
80617577,TB,111,1,591974.000000659,6643601.99993008,59.91961846847578,10.64506273413959
80617534,TB,111,1,591943.000000658,6643160.99993008,59.91566710921658,10.644312690592642
80617631,FA,111,3,591888.000000658,6643238.99993008,59.91637947111126,10.643364153498283
80617658,TB,121,1,592089.000000659,6643854.99993008,59.921863642130326,10.647231208010947
80617615,FA,112,1,592006.000000659,6643631.99993008,59.919880599288355,10.645648149843625
80617623,FA,181,1,592008.000000659,6643638.99993008,59.919942982668985,10.645687016506049
80617593,FA,111,1,592026.000000659,6643395.99993008,59.91775787851974,10.645900798267553
80617607,FA,122,1,591897.000000658,6643368.99993008,59.917544304065984,10.643582734661628
80617798,TB,122,2,591517.000000655,6644495.99993009,59.92774443057012,10.637287989114183
80617747,TB,181,1,591607.000000656,6644377.99993009,59.92666530733237,10.638845124575436
80617755,TB,181,,591078.800000652,6644183.99993009,59.925041061367146,10.629314727828264
80617763,TB,323,1,591435.000000654,6644349.99993009,59.926452176099275,10.63575714272146
80617739,TB,121,3,591543.000000655,6644370.99993009,59.92661669550261,10.63769761605732
80617666,FA,181,1,591544.000000655,6643642.99993009,59.92008216476945,10.637393482101528
80617690,FA,181,1,592072.000000659,6643765.99993008,59.92106860523329,10.646887679942804
80617909,TB,112,2,591642.000000656,6644546.99993009,59.92817441830863,10.639545829119921
80618131,TB,111,1,591035.000000651,6644052.99993009,59.92387491452584,10.628473928428658
80617917,TB,181,1,591299.000000653,6644264.99993009,59.925719384854055,10.633287774112135
80618158,TB,111,2,591374.000000654,6644597.99993009,59.92869167729595,10.634775907228189
80617925,FA,111,1,591324.000000654,6644248.99993009,59.92557023572615,10.63372773667968
80618166,TB,111,2,591469.000000655,6644536.99993009,59.928123088594766,10.636447778504726
80617887,FA,181,1,591999.000000659,6644569.99993009,59.928301331193424,10.645939993940155
80617895,TB,122,3,591449.000000655,6644254.99993009,59.92559637875506,10.63596549585102
80618123,FA,121,2,591336.000000654,6644556.99993009,59.92833209565998,10.634078269353799
80617879,FA,181,1,592016.000000659,6644551.99993009,59.928135974694825,10.646235986244124
80617801,TB,181,1,591490.000000655,6644493.99993009,59.92773247298264,10.63680429017689
80616392,TB,181,1,593383.900000669,6643907.09993008,59.9220400075235,10.67040568780779
80616406,TB,181,1,593417.00000067,6643914.99993008,59.92210341580737,10.671001036476374
80616546,TB,124,2,592960.000000666,6643688.99993008,59.92017822844308,10.662728954381905
80616562,TB,111,1,593181.000000668,6643678.99993008,59.92003858745527,10.666675421533613
80616570,TB,131,2,592682.000000664,6643487.99993008,59.918436713717924,10.657668950374765
80616511,TB,181,1,593354.000000669,6643863.99993008,59.921659932457324,10.669851676880041
80616538,TB,181,1,593430.00000067,6643820.99993008,59.92125676844947,10.671191028837956
80616481,TB,181,1,593355.000000669,6643836.99993008,59.921417366044864,10.66985737777069
80616414,TB,111,1,593526.00000067,6643932.99993008,59.922240263568895,10.67295794418369
80616449,TB,136,1,592772.000000665,6643834.99993008,59.92153100975056,10.659433373422122
80616627,TB,181,1,592930.000000666,6643746.99993008,59.92070557537849,10.662218660875393
80616635,TB,111,2,592493.000000663,6643672.99993008,59.92013964284093,10.654372880754709
80616619,TB,111,2,592921.000000666,6643746.99993008,59.92070760378576,10.662057758818502
80616600,TB,211,5,592879.000000665,6643461.99993008,59.91815902190073,10.661179015546827
80616589,TB,131,2,592671.000000664,6643442.99993008,59.91803528329692,10.657452162698792
80616724,FA,131,2,592691.000000664,6643534.99993008,59.91885654455455,10.657850884739064
80616740,FA,131,2,592695.000000664,6643512.99993008,59.91865818187183,10.657912542548138
80616708,FA,131,2,592686.000000664,6643535.99993008,59.918866644104355,10.657761947189446
80616686,FA,131,2,592681.000000664,6643534.99993008,59.91885879236608,10.657672114223136
80616651,FA,131,2,592683.000000664,6643540.99993008,59.918912196506916,10.657710554474908
80616848,FA,181,1,592694.300000664,6643558.09993008,59.919063139382196,10.657920221981108
80616856,FA,131,2,592714.000000664,6643538.99993008,59.9188872761145,10.658263848179624
80616821,FA,131,2,592709.000000664,6643537.99993008,59.91887942471892,10.65817401504463
80616783,FA,131,2,592703.000000664,6643515.99993008,59.91868331022293,10.658056901425352
80616805,FA,131,2,592707.000000664,6643516.99993008,59.91869138653265,10.658128857044472
80616767,FA,131,2,592698.000000664,6643513.99993008,59.91866648307049,10.657966621132207
80616937,TB,131,2,592750.000000664,6643524.99993008,59.918753521448295,10.658901150089061
80616953,TB,131,2,592753.000000664,6643523.99993008,59.91874387102268,10.658954333018837
80616910,TB,131,2,592745.000000664,6643526.99993008,59.918772597313286,10.658812661132414
80616872,FA,131,2,592718.000000664,6643540.99993008,59.91890432792007,10.658336252150086
80616899,FA,131,2,592722.000000664,6643541.99993008,59.91891240407479,10.658408208313915
80617097,TB,131,2,592784.000000665,6643510.99993008,59.91862021375895,10.659502693010804
80617054,TB,131,2,592775.000000665,6643512.99993008,59.91864019002447,10.659342697080643
80617070,TB,131,2,592779.000000665,6643512.99993008,59.91863929002506,10.659414204759797
80617038,TB,131,2,592770.000000665,6643514.99993008,59.91865926618374,10.659254208683015
80616988,TB,131,2,592758.000000665,6643521.99993008,59.9187247950632,10.659042821816394
80617003,TB,131,2,592761.000000664,6643517.99993008,59.918688217757,10.659094660472269
80623623,TB,181,1,593164.000000668,6645786.99993008,59.93896290492118,10.667320840200578
80623666,TB,181,1,593191.000000668,6645585.99993008,59.93715271480264,10.667713209224498
80623569,TB,111,1,593095.000000667,6645520.99993008,59.936591005219604,10.665966808294865
80623585,TB,121,1,592861.000000666,6645669.99993008,59.93798116717081,10.661848275688087
80623542,FA,121,2,593054.000000667,6645456.99993008,59.936025830867386,10.66520465860158
80623550,TB,181,1,593040.000000667,6645454.99993008,59.93601104111646,10.664953351553121
80623798,TB,111,2,593312.000000669,6645643.99993008,59.937645911244374,10.669903686945554
80623755,FA,111,1,593232.000000668,6645668.99993008,59.93788840951665,10.668483995437471
80623712,TB,111,1,593407.00000067,6645534.99993008,59.936646053397794,10.671553712963195
80623720,TB,181,1,593400.00000067,6645548.99993008,59.93677329755299,10.671434831542923
80623577,FA,111,2,592952.000000666,6645661.99993009,59.93788884323756,10.663472422554582
80623607,FA,112,1,593110.000000668,6645853.99993009,59.93957647360928,10.666385076133434
80624999,FA,133,2,593924.000000674,6644926.99993008,59.931071433067366,10.68052486472746
80623690,FA,111,1,593419.00000067,6645506.99993008,59.936392018210704,10.67175570037191
80623801,TB,111,2,593328.000000669,6645669.99993008,59.93787565123538,10.67020161625362
80623828,TB,111,2,593344.800000669,6645704.19993008,59.938178808626354,10.670517561817626
80625197,TB,181,1,594297.000000677,6645354.99993008,59.934827756392785,10.687390498932182
80625081,TB,136,2,593951.000000674,6645306.99993008,59.93447596451482,10.681180334938263
80625413,TB,181,1,593633.000000671,6645833.99993008,59.939278435625255,10.67573146695149
80625421,TB,181,1,593637.000000671,6645834.99993008,59.93928650205633,10.675803471406438
80625448,TB,181,1,593614.000000671,6645809.99993008,59.9390673410563,10.675380729240548
80625367,TB,181,1,593589.000000671,6645420.99993008,59.935581547073056,10.674757452916554
80625375,TB,181,1,593927.000000674,6645722.99993008,59.938215237094376,10.680940059708671
80625332,TB,181,1,593845.000000673,6645691.99993008,59.93795568210182,10.679459232267728
80625596,TB,181,1,594012.000000674,6645504.99993008,59.93623919737881,10.682361351986184
80625618,TB,181,1,593652.000000672,6645686.99993008,59.93795471819715,10.676004745752543
80625480,FA,181,1,593551.000000671,6645843.99993008,59.93938681816429,10.674269185375298
80625545,TB,181,1,593717.000000672,6645633.99993008,59.93746423727919,10.677143386632027
80625456,TB,181,1,593574.000000671,6645434.99993008,59.93571061084556,10.674495499828074
80625464,TB,181,1,593665.000000672,6645649.99993008,59.93761966949459,10.676220516532092
80625936,TB,121,1,593571.000000671,6645478.99993008,59.93610621472685,10.674461752844874
80625901,TB,111,1,594376.000000677,6645387.99993008,59.93510586078734,10.68881850322859
80625898,TB,111,1,594355.000000677,6645385.99993008,59.935092718940766,10.688441994867878
80625855,TB,142,4,593728.000000672,6645064.99993008,59.93235467395616,10.677082244145
80622767,TB,739,4,592525.000000663,6644639.99993008,59.9288118856725,10.655377318372693
80622864,TB,181,1,592142.00000066,6643783.99993008,59.92121452922721,10.648147175626217
80622848,TB,111,2,592467.000000663,6645179.99993009,59.93367173178268,10.654581536583427
80622856,TB,111,1,592515.000000663,6645152.99993009,59.93341861728455,10.65542794050788
80622813,TB,181,1,591438.000000655,6644959.99993009,59.931926686360995,10.636080405541739
80622821,TB,181,1,592372.000000662,6644135.99993008,59.92432248683415,10.652416302625934
80622805,TB,181,1,591466.000000655,6645022.99993009,59.93248594154658,10.636609025504088
80622953,TB,131,2,592807.000000665,6644545.99993008,59.92790478053152,10.660377984579318
80622961,FA,131,2,592813.000000665,6644540.99993008,59.927858551606086,10.660483032929426
80622872,TB,111,1,592519.000000663,6644024.99993008,59.92329322878548,10.654995042433413
80623062,TB,121,2,592603.000000663,6643965.99993008,59.92274480806975,10.656470517633506
80623070,TB,121,2,592820.000000665,6644321.99993008,59.92589132112917,10.660509961614373
80622937,FA,111,1,592791.000000665,6644481.99993008,59.927333944879926,10.660063171002852
80623046,TB,111,2,592082.000000659,6645369.99993009,59.935463310758635,10.647780374433271
80622988,FA,131,2,592854.000000665,6644494.99993008,59.92743644062928,10.661195544828706
80623011,FA,131,2,592865.000000665,6644440.99993008,59.926949280918905,10.661368005870887
80623038,TB,121,2,591723.000000657,6645184.99993009,59.93388288023557,10.64127719857726
80623135,TB,121,2,591658.000000656,6645321.99993009,59.93512700984105,10.640175376655822
80623151,TB,121,1,592168.00000066,6643879.99993008,59.92207038036592,10.64865476191495
80623119,FA,181,1,592536.000000663,6643910.99993008,59.92226619272063,10.655248023464138
80623097,TB,142,3,592553.000000663,6644784.99993008,59.930107062381964,10.65594289858514
80623100,FA,121,1,592538.000000663,6643926.99993008,59.92240935374299,10.655290934865778
80623224,TB,111,1,591850.000000658,6645012.99993009,59.932310779755205,10.643472240306997
80623232,TB,181,1,591862.000000658,6645006.99993009,59.93225425113905,10.643684188439824
80623208,TB,181,1,591779.000000657,6644765.99993009,59.93010960787533,10.642092849685394
80623216,TB,612,1,592195.00000066,6644201.99993008,59.92495450156567,10.649280935282908
80623178,TB,181,1,592170.00000066,6643885.99993009,59.92212378715558,10.648693191520877
80623186,TB,143,7,592551.000000663,6644829.99993008,59.930511413785695,10.655927265913322
80623194,TB,111,2,591786.000000657,6644750.99993009,59.929973414011904,10.642211376799487
80623321,TB,111,1,593451.00000067,6644861.99993008,59.93059554643714,10.672036611549805
80623291,TB,111,2,592733.000000664,6644130.99993008,59.924196562093236,10.65886873786095
80623305,TB,111,1,592224.000000661,6644048.99993008,59.923574741529784,10.649731283663078
80623283,TB,671,2,592473.000000662,6644189.99993008,59.92478452711324,10.654246315275953
80623267,TB,111,1,592593.000000663,6644291.99993009,59.92567310385612,10.65643758623412
80623437,TB,181,1,593327.000000669,6645155.99993008,59.933262452843046,10.669951745300754
80623445,TB,111,1,593048.000000667,6645125.99993008,59.93305627568315,10.664948408228001
80623410,TB,181,2,593213.000000668,6645183.99993008,59.933539569555194,10.667925508566187
80623380,TB,181,1,593582.000000671,6645073.99993008,59.93246863267669,10.674475229205646
80623399,TB,181,,593147.000000668,6644850.99993008,59.93056563308246,10.66659514110749
80623402,FA,181,1,592951.000000666,6644678.99993008,59.92906608464625,10.663012729755206
80623259,FA,111,1,592579.000000663,6644270.99993008,59.925487760409766,10.656177860609592
80623429,GR,181,1,593452.00000067,6644818.99993008,59.93020937177975,10.672035068650494
80623453,FA,181,,593301.000000669,6645586.99993008,59.9371367968214,10.669681207402865
80623488,FA,181,1,592946.700000666,6645540.49993008,59.93679950796523,10.66332300014726
80622503,FA,131,2,592861.000000665,6644473.99993008,59.927246376402785,10.661311291103317
80622511,FA,131,2,592836.000000665,6644523.99993008,59.927700787064786,10.660886687760234
80622449,TB,181,1,592604.000000663,6644450.99993008,59.927097754657765,10.656705433945039
80622481,FA,131,2,592865.000000665,6644431.99993008,59.9268685006417,10.66136396646326
80622422,GR,181,1,592149.00000066,6643707.99993008,59.9205308150824,10.648238491223786
80622430,TB,142,2,592638.000000664,6643926.99993008,59.9223868962081,10.657078831860632
80622619,TB,111,1,591785.000000657,6644966.99993009,59.93191238083654,10.642289339282547
80622627,FA,112,1,592363.000000662,6645014.99993009,59.93221407764668,10.652647802936023
80622597,TB,181,1,592274.000000661,6644866.99993009,59.93090562175446,10.650990075824954
80622538,TB,613,3,591820.000000658,6644887.99993009,59.93119550699087,10.642880217084414
80622554,TB,111,2,591902.000000658,6645043.99993009,59.932577432348914,10.644416004271102
80622724,TB,111,1,591939.000000658,6645351.99993009,59.935333679817475,10.645214659578238
80622708,GR,111,2,592157.00000066,6645083.99993009,59.93287951326285,10.648994379507334
80622716,TB,111,1,591928.000000658,6645373.99993009,59.935533598226215,10.645027693587137
80622651,TB,181,1,591667.000000656,6645089.99993009,59.93304265199995,10.640233514610589
80622635,TB,181,1,592310.000000661,6645133.99993009,59.93329405150422,10.651753048143485
80622643,TB,111,1,591625.000000656,6644838.99993009,59.93079909688053,10.63937116128895
80622740,TB,122,2,591451.000000655,6644792.99993009,59.93042486098556,10.636239066651985
80622759,TB,181,1,592634.000000664,6644787.99993009,59.930115791888575,10.657392773782526
80623852,TB,122,1,593342.000000669,6645606.99993008,59.937307021439864,10.67042359422151
80623860,TB,122,3,593360.00000067,6645648.99993008,59.93767991556244,10.670764522870213
80623844,TB,181,1,593318.000000669,6645574.99993008,59.93702524062524,10.669979866594979
80623836,TB,112,1,593329.000000669,6645587.99993008,59.93713943113576,10.670182488503885
80625960,TB,111,2,594485.000000678,6645367.99993008,59.934901373513505,10.69075888396541
80623968,FA,131,3,593430.00000067,6645074.99993008,59.93251209599112,10.671757275808176
80623976,FA,131,3,593422.00000067,6645077.99993008,59.9325408361826,10.671615556712105
80623984,FA,131,3,593414.70000067,6645084.09993008,59.932597241703036,10.671487756526195
80623917,FA,131,3,593448.00000067,6645101.99993008,59.93275035413364,10.67209139182951
80623933,FA,131,3,593440.00000067,6645104.99993008,59.932779094686225,10.671949672015579
80623941,FA,181,1,593445.00000067,6645118.99993008,59.93290361839026,10.672045419474564
80623909,TB,181,1,593469.00000067,6645141.99993008,59.93310461284183,10.672485041398419
80623887,TB,136,1,592821.000000665,6644594.99993008,59.92834143192036,10.660650314860947
80624069,TB,122,2,592929.000000666,6645582.99993008,59.93718496178234,10.663025507961693
80624077,TB,111,1,593361.000000669,6645022.99993008,59.932061005213505,10.670499788126392
80624042,TB,121,1,593381.00000067,6645696.99993008,59.938105981998525,10.671161831034805
80624026,FA,121,2,593062.000000667,6645464.99993008,59.9360958286057,10.665351348883705
80624034,TB,121,1,593388.00000067,6645713.99993008,59.93825697938794,10.671294721081512
80623992,TB,111,1,593330.000000669,6645511.99993008,59.936457064149685,10.670166070110099
80624255,TB,111,1,592921.000000666,6644476.99993008,59.9272597819146,10.66238552981702
80624263,TB,121,2,593210.000000668,6644309.99993008,59.92569561400151,10.667478050529029
80624271,TB,111,1,593166.000000668,6644212.99993008,59.92483493090469,10.66664763012783
80624247,TB,111,1,592910.000000666,6644494.99993008,59.927423821939044,10.662196915953471
80624190,TB,181,1,593102.000000667,6644136.99993008,59.92416724649968,10.6654691058152
80624131,FA,135,2,592757.000000665,6645415.99993008,59.935724796248834,10.659874046197867
80624425,TB,121,2,593763.000000672,6644678.99993008,59.928882166682776,10.67753322246877
80624344,FA,181,,594045.000000675,6644961.99993008,59.93135798198519,10.682704669057854
80624352,TB,319,5,593667.000000672,6644357.99993008,59.9260228520715,10.675671201838078
80624336,TB,181,1,593992.000000674,6644859.99993008,59.93045457294067,10.681710492037393
80658664,TB,111,1,591759.000000657,6644315.99993008,59.92607500778369,10.641535602789466
80658591,TB,131,2,592556.000000663,6645130.99993008,59.93321194762814,10.65615137576423
80658605,TB,131,2,592562.000000663,6645134.99993009,59.9332465024182,10.656260474723979
80658583,TB,131,2,592549.000000663,6645127.99993009,59.93318659292778,10.656024839752304
