building_number,building_status,building_type,num_floors,coords_EPSG_25832:x,coords_EPSG_25832:y,coords_WGS84:x,coords_WGS84:y
80616287,FA,111,1,594546.000000678,6645510.99993008,59.93617086941126,10.691915274704243
80616295,FA,181,1,594553.000000679,6645492.99993008,59.93600770540394,10.692032246134403
80728611,TB,122,1,594406.000000678,6648128.99993009,59.959700634479155,10.69060750709597
80618344,TB,181,,591284.000000653,6645833.99993009,59.93980558717869,10.633712060831899
80618352,TB,181,1,591320.000000654,6645935.99993009,59.94071312953831,10.634401108780972
80618360,TB,121,2,591459.000000655,6645932.99993009,59.940655367960055,10.636886352927762
80618301,FA,111,2,591814.000000658,6646112.99993009,59.94219202200597,10.643316874880162
80618328,TB,121,2,591817.000000658,6646099.99993009,59.94207466996134,10.643364769057902
80618336,TB,111,1,591281.000000653,6645826.99993009,59.93974342201428,10.633655304235056
80618263,TB,181,2,592107.00000066,6646540.99993009,59.94596818112061,10.648749314879872
80618271,TB,181,1,592117.00000066,6646540.99993009,59.945965944801145,10.648928232120364
80618298,TB,181,1,591767.000000657,6645808.99993009,59.939473895950286,10.642341095500884
80618247,TB,181,1,591743.000000657,6646150.99993009,59.94254891479972,10.642063570212317
80618492,TB,131,2,591957.000000659,6645989.69993009,59.941053430136115,10.645820249309345
80618441,TB,181,1,591851.000000658,6646081.99993009,59.94190552900441,10.643965018802495
80618468,TB,111,1,591851.000000658,6646022.99993009,59.94137596595497,10.643938800204808
80618379,TB,181,1,591470.000000655,6645927.99993009,59.940608047432626,10.637080919036368
80618387,TB,181,1,591791.000000657,6645779.99993009,59.939208255626696,10.642757537649047
80618425,FA,111,1,591927.000000658,6645831.99993009,59.939644666837275,10.645213445230425
80618433,FA,111,1,591860.000000658,6646075.99993009,59.941849668384506,10.644123358406235
80618409,TB,181,1,591585.000000656,6645815.99993009,59.93957722352392,10.639088524253918
80618670,TB,142,3,592232.000000661,6645901.99993009,59.94020479370143,10.650700611194274
80618581,TB,181,,592016.600000659,6645806.59993009,59.939396683855044,10.646804934369458
80618638,TB,143,6,592129.00000066,6645804.99993009,59.939357203942535,10.6488148535783
80618662,TB,311,2,592175.00000066,6646049.99993009,59.94154594219897,10.649746957474166
80618522,TB,131,2,591980.000000659,6645927.99993009,59.94049449888961,10.646204243377008
80618794,TB,131,2,591978.000000659,6645912.99993009,59.94036031086078,10.646161791385792
80618808,TB,131,2,591976.000000659,6645920.99993009,59.94043256246353,10.646129573519564
80618751,TB,131,2,591992.000000659,6645977.99993009,59.940940601315035,10.646441160761873
80618778,TB,131,2,591986.000000659,6645974.99993009,59.940915014140025,10.64633249148802
80618786,TB,131,2,591966.000000659,6645962.99993009,59.94081177163038,10.64596937194893
80618727,FA,181,1,592004.000000659,6646320.99993009,59.94401656310865,10.646808515413682
80618735,TB,131,2,591939.000000659,6645990.99993009,59.94106911588509,10.645498823615112
80618743,TB,131,2,591876.000000658,6645965.99993009,59.94085877957035,10.64436069670078
80618875,TB,111,2,592015.000000659,6646501.99993009,59.94563869450298,10.647085907974441
80618891,FA,111,2,591732.000000657,6645978.99993009,59.94100755188308,10.64179044520733
80618824,TB,131,2,592007.000000659,6645890.99993009,59.94015637144215,10.64667077230228
80618840,TB,131,2,592005.000000659,6645865.99993009,59.93993242721145,10.64662386812426
80618859,TB,181,1,592039.000000659,6646394.99993009,59.94467294057494,10.647467647341312
80618816,TB,131,2,592006.000000659,6645934.99993009,59.940551522682526,10.646672467760437
80619006,TB,131,2,591990.000000659,6646033.99993009,59.94144368342911,10.646430305002834
80619014,FA,131,2,591983.000000659,6646035.99993009,59.941463197706135,10.646305969864594
80619022,TB,121,2,591734.000000657,6646133.99993009,59.942398332951996,10.641895015378065
80618980,FA,131,2,591974.000000659,6646009.99993009,59.94123184059257,10.646133396777207
80618999,FA,131,2,591997.000000659,6646030.99993009,59.941415193401944,10.646554194910829
80618972,TB,111,1,591850.000000658,6646471.99993009,59.94540625225767,10.644120461272188
80619162,FA,111,1,591439.000000655,6646919.99993009,59.949518796239246,10.63696531830676
80619170,FA,111,1,591454.000000655,6646960.99993009,59.94988346774189,10.637251875688326
80619138,FA,121,1,591419.000000654,6645994.99993009,59.94122073820668,10.636198214746106
80619103,FA,181,1,591710.000000657,6646921.99993009,59.949476488363196,10.641815400629946
80619030,TB,181,1,591740.000000657,6646148.99993009,59.94253163160112,10.642009012632462
80619049,FA,111,1,591798.000000658,6647158.99993009,59.95158410798024,10.643495366981682
80619111,GR,111,1,591471.000000655,6647295.9999301,59.95288653828786,10.637704426712947
80622104,TB,111,1,593441.00000067,6647162.99993009,59.951250478188996,10.672897950269755
80620608,TB,133,1,593038.000000667,6646757.99993009,59.94770663222365,10.665504101041442
80619340,FA,121,2,592044.000000659,6646998.99993009,59.95009309792749,10.647826182407185
80620632,TB,181,1,591042.000000652,6648202.9999301,59.96112255854426,10.630427147988554
80620659,TB,181,1,591613.000000656,6647258.99993009,59.95252287138404,10.640229180076028
80622120,TB,111,1,594085.000000675,6646367.99993008,59.94396836216246,10.684059828462404
80620535,TB,133,2,593049.000000667,6646770.99993009,59.94782082922034,10.665706773479066
80620543,TB,181,1,593032.000000667,6646738.99993009,59.94753745230007,10.665388190549946
80620586,TB,133,2,593058.000000667,6646780.99993009,59.94790855118393,10.665872310789572
80619332,FA,111,2,591360.000000654,6647059.9999301,59.95079292293436,10.635613629838184
80620594,TB,181,1,593040.000000667,6646772.99993009,59.94784081350891,10.665546640995244
80619316,TB,181,1,591906.000000658,6646986.99993009,59.9500162108306,10.645351474779902
80622066,TB,111,1,593728.000000672,6646466.99993008,59.94493832079555,10.67771786520133
80619324,TB,112,1,591750.000000657,6646408.99993009,59.94486307343453,10.642303341199966
80620527,TB,181,2,593058.000000667,6646796.99993009,59.948052159775095,10.665879517549977
80620470,TB,111,1,593610.000000671,6646904.99993009,59.94889642039643,10.675805176588884
80620667,FA,181,1,591744.000000657,6647340.99993009,59.9532297079334,10.642609892154965
80622015,TB,131,1,591305.000000654,6647866.9999301,59.958048485377276,10.634986241377247
80622023,TB,181,1,591314.000000654,6647851.9999301,59.95791185432605,10.635140692208129
80620519,TB,131,3,593156.900000668,6646657.89993009,59.946781305538,10.667586385730319
80622031,TB,111,2,593379.00000067,6647341.99993009,59.95287115694969,10.67186942679185
80619405,TB,181,1,591614.000000656,6647979.99993009,59.95899408641548,10.640566966424583
80620802,TB,181,1,593972.000000674,6646845.99993008,59.948284428471204,10.682255607834884
80622171,TB,131,2,591309.000000654,6647398.9999301,59.95384698670805,10.634850882477851
80620837,TB,181,1,593952.000000674,6646986.99993009,59.949554531511744,10.681961878260035
80619421,TB,181,1,591814.000000658,6647624.99993009,59.95576318393419,10.643988858030074
80620845,TB,181,1,593959.000000674,6646959.99993009,59.949310597093294,10.682074851353613
80619448,FA,181,1,591471.000000655,6647444.99993009,59.95422391110288,10.637770421162202
80620861,TB,181,1,593362.00000067,6646866.99993008,59.948611645547494,10.671350516488614
80622198,TB,131,2,591309.000000654,6647411.9999301,59.95396367040385,10.634856630328194
80620764,TB,181,1,594204.000000676,6647024.99993008,59.94983803212881,10.686488323778182
80619383,TB,181,1,591608.000000656,6647909.9999301,59.958367126994844,10.640428511766103
80620772,TB,181,1,594137.000000675,6647067.99993008,59.95023929678443,10.685309056368096
80620713,TB,181,1,594205.000000676,6647029.99993008,59.949882680580664,10.686508497414332
80620721,TB,181,1,594010.000000675,6646564.99993008,59.94575365195121,10.682807674372576
80622155,TB,111,2,593428.00000067,6647277.99993009,59.9522856103354,10.672717342028344
80622163,TB,121,2,591379.000000654,6647653.9999301,59.95612025178403,10.63621644973307
80620675,TB,181,1,591575.000000656,6647233.99993009,59.95230693258795,10.639538072576496
80620683,TB,181,1,593961.000000674,6647100.99993009,59.95057568062161,10.682174772413477
80622139,TB,181,1,594081.000000675,6646356.99993008,59.94387054570064,10.683983259474457
80619359,FA,111,1,591929.000000659,6647389.99993009,59.9536282531508,10.645942402031187
80622147,TB,122,1,594099.000000675,6646395.99993008,59.944216477099005,10.684323042420385
80620691,TB,181,1,594030.000000675,6647096.99993008,59.95052402982324,10.683407630315166
80620705,FA,181,1,594068.000000675,6647097.99993009,59.950524326999606,10.68408805238768
80621043,FA,181,1,591524.000000656,6647504.9999301,59.95475067282211,10.638745515323022
80619642,TB,181,1,593813.000000673,6646450.99993009,59.94477536299513,10.679231327711594
80621078,TB,181,1,591364.000000654,6647513.9999301,59.954866987977894,10.635886045925062
80621094,TB,181,1,591740.000000657,6647682.9999301,59.95630026559116,10.642690244909621
80619677,TB,181,1,593368.00000067,6646604.99993009,59.94625870109187,10.671339474930118
80619561,GR,181,1,592828.000000665,6647150.99993009,59.951281409224464,10.661923265226008
80621000,TB,181,1,591661.000000657,6647412.99993009,59.953894438428144,10.641156504794946
80619618,TB,121,1,592792.000000665,6647042.99993009,59.950320162857075,10.661230547894037
80620942,TB,181,1,591194.000000653,6647665.9999301,59.95626897778182,10.632910742593412
80619537,TB,181,1,594129.000000675,6646128.99993008,59.941813175803944,10.684738151829311
80619545,GR,181,1,593724.000000672,6646910.99993009,59.94892434589122,10.677847705389603
80620969,TB,181,1,591561.000000656,6647913.99993009,59.95841348527416,10.639589056749402
80619456,TB,121,2,591806.000000658,6647585.99993009,59.95541491839903,10.643828342191545
80620918,TB,181,1,591229.000000653,6647570.9999301,59.955408535110664,10.6334951796697
80619464,TB,181,1,591822.000000658,6647587.99993009,59.95542930176275,10.644115581279554
80620926,TB,181,1,591184.000000653,6647743.9999301,59.95697129522793,10.632766214864981
80621051,GR,181,1,591475.000000655,6647855.9999301,59.95791201552295,10.638024084767551
80619472,FA,181,1,591818.000000658,6647556.99993009,59.95515194939303,10.644030209660777
80622201,TB,181,1,591318.000000654,6647417.99993009,59.954015528530526,10.635020348878081
80622228,TB,121,1,593053.000000667,6647326.99993009,59.95281032220153,10.666028806355106
80619820,TB,181,1,593550.000000671,6646637.99993009,59.946513595997985,10.674610696321464
80621329,TB,181,1,592085.00000066,6648148.9999301,59.96040587723558,10.64907266705187
80619839,TB,181,1,593499.000000671,6647096.99993009,59.95064493081024,10.673905947308505
80619847,TB,181,1,593324.000000669,6646574.99993009,59.945999407273824,10.670538691310107
80621353,TB,181,1,594091.000000675,6646720.99993008,59.947135327696145,10.684327906843427
80621221,TB,181,1,591502.000000655,6647606.9999301,59.95567107889401,10.638396989177451
80621248,TB,181,1,591508.000000655,6647579.9999301,59.95542740286592,10.638492406219248
80619790,TB,181,,593542.000000671,6647088.99993009,59.95056336184164,10.674671767016708
80621264,TB,141,2,593203.000000668,6647114.99993009,59.95087358816609,10.668617427424827
80619804,TB,181,1,593538.000000671,6647136.99993009,59.950995094075786,10.674621927211081
80619812,TB,181,1,593298.000000669,6646762.99993009,59.94769269498689,10.670158402082958
80621299,TB,181,1,591662.000000657,6647610.99993009,59.95567139237688,10.64126228886597
