epochs;train_loss;val_loss;accuracy_skl;precision_skl_macro;precision_skl_wgt;recall_skl_macro;recall_skl_wgt;f1_skl_macro;f1_skl_wgt;auc_skl_macro;auc_skl_wgt;accuracy_tf;precision_tf;recall_tf;auc_tf
28;0.5713890194892883;0.7774468064308167;0.7307692307692307;0.6341312302452362;0.7337165520276682;0.6340973418623076;0.7307692307692307;0.6302139259085155;0.7289469097381058;0.9175375114458476;0.9065984096220873;0.7307692;0.7526652;0.69625247;0.94097275
30;0.5626558661460876;0.8110817670822144;0.7238658777120316;0.6571182000308213;0.720298128558024;0.5847139829668953;0.7238658777120316;0.6083364361523702;0.7196625612594628;0.9183251589722549;0.9046417142427914;0.72386587;0.749736;0.7001972;0.9408485
29;0.5628587007522583;0.8106821179389954;0.7248520710059172;0.7064577618006127;0.7266670091351033;0.6256880363456557;0.7248520710059172;0.6529545067553215;0.7150334680744022;0.9193795323557669;0.8977745367021641;0.7248521;0.7453222;0.7071006;0.94057864
33;0.5582291483879089;0.7311791181564331;0.7571569595261599;0.7197188946668752;0.7559211757185957;0.6221228466306045;0.7571569595261599;0.6508086100746998;0.7532845832587236;0.9313087025424274;0.914424135577304;0.75715697;0.78118396;0.72951627;0.9482377
48;0.5520004630088806;0.8362680673599243;0.7347140039447732;0.6784343578265152;0.7317860772205003;0.5876706880377399;0.7347140039447732;0.6147069921384477;0.7266138469803439;0.9168367239220699;0.9078364802472899;0.73471403;0.75438595;0.7209073;0.9384632
24;0.5912199020385742;0.7238368391990662;0.7416173570019724;0.6802799229385593;0.7395407497042007;0.6160913877248745;0.7416173570019724;0.6402449723155025;0.7371877302262633;0.9294729441953195;0.9067055505803927;0.7416174;0.76526314;0.7169625;0.9471826
23;0.5896505117416382;0.8576242327690125;0.7209072978303748;0.6377413931129385;0.7170668443978636;0.5765254130624881;0.7209072978303748;0.598154063548075;0.7172463355948824;0.910743262003756;0.8899983490637382;0.7209073;0.743428;0.6972387;0.93666285
30;0.5815541744232178;0.7737159132957458;0.7295162882527148;0.6806587437632564;0.739222954857151;0.6226528900742285;0.7295162882527148;0.6359414867714722;0.7224748728934426;0.9255170535967977;0.9112678610048272;0.72951627;0.75;0.7107601;0.9437792
22;0.6368126273155212;0.8292561173439026;0.717948717948718;0.6694382902203024;0.7218760669126192;0.5668006659478432;0.717948717948718;0.5818025673151499;0.7006614284986797;0.9124302768986409;0.902938585950308;0.71794873;0.73854166;0.69921106;0.9358232
31;0.5808834433555603;0.879630982875824;0.727810650887574;0.7421391104820816;0.7418338667496253;0.5861223965045782;0.727810650887574;0.6298074092166829;0.7175183667999461;0.9086578069484562;0.8966160354404458;0.7278106;0.75;0.7071006;0.93406904
30;0.5559141039848328;0.7942270636558533;0.7307692307692307;0.6482361365970489;0.7273952332050794;0.5921534212817254;0.7307692307692307;0.6040641236504364;0.7255054169585373;0.9193113761682777;0.902685713002372;0.7307692;0.74921954;0.71005917;0.9422397
30;0.5676950216293335;0.7707028985023499;0.7393879565646594;0.6706222057372481;0.7405893758122897;0.624925208663831;0.7393879565646594;0.637951200935397;0.7347854082913149;0.926874389526834;0.9113547466679216;0.7393879;0.7658898;0.71372163;0.9425142
